stable_target_id,benchmark_id,flow,rank,score,ranking_features,source_blind,schema_version
f0b703ccb6f1d95d,generated_adder_4,dc2,1,120.973,"{""fanout"": 2, ""fingerprint"": ""f8b19f8fe69fe5e9"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
d049016af490d397,generated_adder_4,dc2,2,120.875,"{""fanout"": 2, ""fingerprint"": ""df3ebf6f957926b2"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
ba728e449636e70a,generated_adder_4,dc2,3,120.816,"{""fanout"": 2, ""fingerprint"": ""d0e6e1b79f42b1b6"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
9595683b7ec9ce2c,generated_adder_4,dc2,4,120.655,"{""fanout"": 2, ""fingerprint"": ""a7b216104d1423c7"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
59c67c797ca6b886,generated_adder_4,dc2,5,120.545,"{""fanout"": 2, ""fingerprint"": ""8b4dadcc251467c3"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
c4430c12331356b6,generated_adder_4,dc2,6,120.490,"{""fanout"": 2, ""fingerprint"": ""7d6b2718f321c85e"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
f3ddd1b38dc650de,generated_adder_4,dc2,7,120.471,"{""fanout"": 2, ""fingerprint"": ""7842725cf215b229"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
e5abd6629f420240,generated_adder_4,dc2,8,120.427,"{""fanout"": 2, ""fingerprint"": ""6d0871c48445489e"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
373a3d96f64cae37,generated_adder_4,resyn2,1,120.973,"{""fanout"": 2, ""fingerprint"": ""f8b19f8fe69fe5e9"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
a51006c0de3b87e1,generated_adder_4,resyn2,2,120.875,"{""fanout"": 2, ""fingerprint"": ""df3ebf6f957926b2"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
6257dd9a982e4598,generated_adder_4,resyn2,3,120.816,"{""fanout"": 2, ""fingerprint"": ""d0e6e1b79f42b1b6"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
1255dd6ffc4d8f20,generated_adder_4,resyn2,4,120.655,"{""fanout"": 2, ""fingerprint"": ""a7b216104d1423c7"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
dfdb5218b3fce6d7,generated_adder_4,resyn2,5,120.545,"{""fanout"": 2, ""fingerprint"": ""8b4dadcc251467c3"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
bcb02d2e7c2609d7,generated_adder_4,resyn2,6,120.490,"{""fanout"": 2, ""fingerprint"": ""7d6b2718f321c85e"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
36d89ab6b178da54,generated_adder_4,resyn2,7,120.471,"{""fanout"": 2, ""fingerprint"": ""7842725cf215b229"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
8ff86a5a4c26ac90,generated_adder_4,resyn2,8,120.427,"{""fanout"": 2, ""fingerprint"": ""6d0871c48445489e"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
e97620e6c2babf13,generated_mux_tree_4,dc2,1,110.878,"{""fanout"": 1, ""fingerprint"": ""e0ca047ecf46fd9b"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
3b2fc8360b7e79ac,generated_mux_tree_4,dc2,2,110.843,"{""fanout"": 1, ""fingerprint"": ""d722109a36f12931"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
5d9170f310054caa,generated_mux_tree_4,dc2,3,110.831,"{""fanout"": 1, ""fingerprint"": ""d49045c819c7d1ba"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
b9432edb6c824047,generated_mux_tree_4,dc2,4,110.800,"{""fanout"": 1, ""fingerprint"": ""ccede92f4f750d24"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
40a47f1e357957aa,generated_mux_tree_4,dc2,5,110.545,"{""fanout"": 1, ""fingerprint"": ""8b91dccbb3550dc3"", ""structural_path"": 1, ""support_name_score"": 1}",true,necessity_first_targets_v1
8260b9f1b6160cfc,generated_mux_tree_4,dc2,6,110.282,"{""fanout"": 1, ""fingerprint"": ""48a491e14c53e7d1"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
e542ef81b25bbdce,generated_mux_tree_4,dc2,7,110.271,"{""fanout"": 1, ""fingerprint"": ""454fad427ab6a782"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
9d0cf8cf978db7ad,generated_mux_tree_4,dc2,8,110.184,"{""fanout"": 1, ""fingerprint"": ""2f787b69d911784f"", ""structural_path"": 1, ""support_name_score"": 1}",true,necessity_first_targets_v1
bbcae55a2b79726f,generated_mux_tree_4,resyn2,1,110.949,"{""fanout"": 1, ""fingerprint"": ""f22c7dbb17d5718a"", ""structural_path"": 1, ""support_name_score"": 1}",true,necessity_first_targets_v1
1a4ee0508c00ee05,generated_mux_tree_4,resyn2,2,110.859,"{""fanout"": 1, ""fingerprint"": ""dba1f4436ab3bbc6"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
6eb93e4570dc5846,generated_mux_tree_4,resyn2,3,110.831,"{""fanout"": 1, ""fingerprint"": ""d49045c819c7d1ba"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
c2cb051c4a341743,generated_mux_tree_4,resyn2,4,110.824,"{""fanout"": 1, ""fingerprint"": ""d21f2fdfe24dd73f"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
d799cb02c31d9356,generated_mux_tree_4,resyn2,5,110.318,"{""fanout"": 1, ""fingerprint"": ""51fac46450a0aa9d"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
804d74cc95b24886,generated_mux_tree_4,resyn2,6,110.271,"{""fanout"": 1, ""fingerprint"": ""454fad427ab6a782"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
3678a9633b5b9e60,generated_mux_tree_4,resyn2,7,110.259,"{""fanout"": 1, ""fingerprint"": ""427ab89bd705c849"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
dc9a0374e99bffb0,generated_mux_tree_4,resyn2,8,110.231,"{""fanout"": 1, ""fingerprint"": ""3ba2c811345ae3f1"", ""structural_path"": 1, ""support_name_score"": 1}",true,necessity_first_targets_v1
44ce54e10e10f232,generated_mux_tree_8,dc2,1,111.000,"{""fanout"": 1, ""fingerprint"": ""ffe444df67f1cf93"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
202040fdc0c4f44d,generated_mux_tree_8,dc2,2,110.906,"{""fanout"": 1, ""fingerprint"": ""e766bbc3320a38df"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
eeb098e77b210ec9,generated_mux_tree_8,dc2,3,110.875,"{""fanout"": 1, ""fingerprint"": ""df9f6a8e71117c83"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
e7130cbc12573d52,generated_mux_tree_8,dc2,4,110.808,"{""fanout"": 1, ""fingerprint"": ""ce9b1af1d9f7a43f"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
cb6fbab9c5809dc1,generated_mux_tree_8,dc2,5,110.792,"{""fanout"": 1, ""fingerprint"": ""ca526438780de22c"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
48c5e5788e430a6d,generated_mux_tree_8,dc2,6,110.749,"{""fanout"": 1, ""fingerprint"": ""bf70947c531c8651"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
6b8716255ebdb208,generated_mux_tree_8,dc2,7,110.741,"{""fanout"": 1, ""fingerprint"": ""bd936e7fc219b6f8"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
868c3cfdf581d7c0,generated_mux_tree_8,dc2,8,110.663,"{""fanout"": 1, ""fingerprint"": ""a92939bfdf4a6426"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
bb8c4b2107d20992,generated_mux_tree_8,resyn2,1,110.984,"{""fanout"": 1, ""fingerprint"": ""fb740470def47fad"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
f114ebc2ccc5f399,generated_mux_tree_8,resyn2,2,110.871,"{""fanout"": 1, ""fingerprint"": ""deaca2ec295718c6"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
d0acdf86fe225ffe,generated_mux_tree_8,resyn2,3,110.851,"{""fanout"": 1, ""fingerprint"": ""d93015a6d26721c3"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
cde9e114d4be7283,generated_mux_tree_8,resyn2,4,110.843,"{""fanout"": 1, ""fingerprint"": ""d78dca7468b16ed9"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
f88000aa6cd5b126,generated_mux_tree_8,resyn2,5,110.761,"{""fanout"": 1, ""fingerprint"": ""c2e4a673cd2c4035"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
8035e9f4b2922f75,generated_mux_tree_8,resyn2,6,110.729,"{""fanout"": 1, ""fingerprint"": ""baab51c0c4fabc3f"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
aeb284d48148cacc,generated_mux_tree_8,resyn2,7,110.725,"{""fanout"": 1, ""fingerprint"": ""b9e03f7667cd4ec8"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
2f3ded849a259150,generated_mux_tree_8,resyn2,8,110.686,"{""fanout"": 1, ""fingerprint"": ""af3a1f0664732747"", ""structural_path"": 1, ""support_name_score"": 2}",true,necessity_first_targets_v1
