stable_target_id,frontier_radius,classification,affected_outputs,schema_version
f0b703ccb6f1d95d,primary_output,reachable_necessary,"[""sum1""]",necessity_first_targets_v1
d049016af490d397,primary_output,reachable_necessary,"[""sum3""]",necessity_first_targets_v1
ba728e449636e70a,primary_output,reachable_necessary,"[""cout""]",necessity_first_targets_v1
9595683b7ec9ce2c,primary_output,reachable_necessary,"[""sum2""]",necessity_first_targets_v1
59c67c797ca6b886,primary_output,reachable_necessary,"[""sum2""]",necessity_first_targets_v1
c4430c12331356b6,primary_output,reachable_necessary,"[""sum1""]",necessity_first_targets_v1
f3ddd1b38dc650de,primary_output,reachable_necessary,"[""sum3""]",necessity_first_targets_v1
e5abd6629f420240,primary_output,reachable_necessary,"[""sum2""]",necessity_first_targets_v1
373a3d96f64cae37,primary_output,reachable_necessary,"[""sum1""]",necessity_first_targets_v1
a51006c0de3b87e1,primary_output,reachable_necessary,"[""sum3""]",necessity_first_targets_v1
6257dd9a982e4598,primary_output,reachable_necessary,"[""cout""]",necessity_first_targets_v1
1255dd6ffc4d8f20,primary_output,reachable_necessary,"[""sum2""]",necessity_first_targets_v1
dfdb5218b3fce6d7,primary_output,reachable_necessary,"[""sum2""]",necessity_first_targets_v1
bcb02d2e7c2609d7,primary_output,reachable_necessary,"[""sum1""]",necessity_first_targets_v1
36d89ab6b178da54,primary_output,reachable_necessary,"[""sum3""]",necessity_first_targets_v1
8ff86a5a4c26ac90,primary_output,reachable_necessary,"[""sum2""]",necessity_first_targets_v1
e97620e6c2babf13,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
3b2fc8360b7e79ac,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
5d9170f310054caa,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
b9432edb6c824047,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
40a47f1e357957aa,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
8260b9f1b6160cfc,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
e542ef81b25bbdce,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
9d0cf8cf978db7ad,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
bbcae55a2b79726f,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
1a4ee0508c00ee05,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
6eb93e4570dc5846,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
c2cb051c4a341743,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
d799cb02c31d9356,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
804d74cc95b24886,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
3678a9633b5b9e60,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
dc9a0374e99bffb0,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
44ce54e10e10f232,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
202040fdc0c4f44d,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
eeb098e77b210ec9,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
e7130cbc12573d52,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
cb6fbab9c5809dc1,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
48c5e5788e430a6d,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
6b8716255ebdb208,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
868c3cfdf581d7c0,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
bb8c4b2107d20992,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
f114ebc2ccc5f399,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
d0acdf86fe225ffe,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
cde9e114d4be7283,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
f88000aa6cd5b126,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
8035e9f4b2922f75,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
aeb284d48148cacc,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
2f3ded849a259150,primary_output,reachable_necessary,"[""out""]",necessity_first_targets_v1
