case_id,context_mode,anchor_mode,search_mode,failure_reason,classification,selected_odc_anchor_count
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|first_frontier|global_output_odc,global_output_odc,formal_all,first_frontier,invalid_ebi_cut;invalid_ebo_cut;incoming_bypass;outgoing_bypass,blocked_by_missing_relevant_anchors,0
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc,global_output_odc,formal_all,cost_guided,invalid_ebo_cut;outgoing_bypass,blocked_by_missing_relevant_anchors,0
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_plus_odc|first_frontier|global_output_odc,global_output_odc,formal_plus_odc,first_frontier,boundary_still_invalid,boundary_still_invalid,1
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|first_frontier|coi_output_odc,coi_output_odc,formal_all,first_frontier,invalid_ebi_cut;invalid_ebo_cut;incoming_bypass;outgoing_bypass,blocked_by_missing_relevant_anchors,0
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc,coi_output_odc,formal_all,cost_guided,invalid_ebo_cut;outgoing_bypass,blocked_by_missing_relevant_anchors,0
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_plus_odc|first_frontier|coi_output_odc,coi_output_odc,formal_plus_odc,first_frontier,invalid_ebi_cut;invalid_ebo_cut;incoming_bypass;outgoing_bypass,blocked_by_missing_relevant_anchors,0
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_plus_odc|cost_guided|coi_output_odc,coi_output_odc,formal_plus_odc,cost_guided,invalid_ebo_cut;outgoing_bypass,blocked_by_missing_relevant_anchors,0
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|first_frontier|global_output_odc,global_output_odc,formal_all,first_frontier,invalid_ebi_cut;invalid_ebo_cut;incoming_bypass;outgoing_bypass,blocked_by_missing_relevant_anchors,0
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc,global_output_odc,formal_all,cost_guided,invalid_ebo_cut;outgoing_bypass,blocked_by_missing_relevant_anchors,0
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_plus_odc|first_frontier|global_output_odc,global_output_odc,formal_plus_odc,first_frontier,boundary_still_invalid,boundary_still_invalid,1
