case_id,benchmark,optimization,coi_name,context_mode,observable_outputs,ranking_mode,spec_node,impl_node,requested_polarity,proven_polarity,candidate_rank,mapping_category,evidence_level,equivalence_scope,proof_status,sat_result,proof_mode,proof_runtime_seconds,spec_fingerprint,impl_fingerprint,sampled_mismatch_rate,source_result_file,failure_reason
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n17|new_n17|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n17,new_n17,inverted,inverted,1,formal_odc_valid_anchor,formal_contextual,contextual,proven_odc_valid,verified_equivalent,abc_cec_contextual_miter,0.083446,cba3265239cadc70,d56b39ef50ec23cc,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n21|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n21,new_n21,inverted,,1,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.053958,7b53c6d383ae83d7,2a6ed23c6d19be7c,1.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n22|new_n22|new_n22|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n22,new_n22,inverted,,1,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.043167,86a4eb7b7a6e77a7,e817178d91bc86a3,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n17|new_n17|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n17,new_n17,positive,,2,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.040830,cba3265239cadc70,d56b39ef50ec23cc,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n21|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n21,new_n21,positive,,2,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.042475,7b53c6d383ae83d7,2a6ed23c6d19be7c,1.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n22|new_n22|new_n22|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n22,new_n22,positive,,2,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.054603,86a4eb7b7a6e77a7,e817178d91bc86a3,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n15|new_n17|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n15,new_n17,inverted,,3,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.044004,9c42d63e485f0a4a,d56b39ef50ec23cc,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n15|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n21,new_n15,inverted,,3,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.043435,7b53c6d383ae83d7,04187000e00b1fed,1.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n15|new_n17|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n15,new_n17,positive,,4,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.052524,9c42d63e485f0a4a,d56b39ef50ec23cc,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n15|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n21,new_n15,positive,,4,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.055544,7b53c6d383ae83d7,04187000e00b1fed,1.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n16|new_n17|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n16,new_n17,inverted,,5,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.043452,88fdb305fe0a400c,d56b39ef50ec23cc,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n18|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n21,new_n18,inverted,,5,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.041496,7b53c6d383ae83d7,dc1333c82e03fb85,1.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n16|new_n17|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n16,new_n17,positive,,6,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.055553,88fdb305fe0a400c,d56b39ef50ec23cc,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n18|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n21,new_n18,positive,,6,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.056484,7b53c6d383ae83d7,dc1333c82e03fb85,1.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n17|new_n15|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n17,new_n15,inverted,,7,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.053567,cba3265239cadc70,04187000e00b1fed,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n17|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n21,new_n17,inverted,,7,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.043778,7b53c6d383ae83d7,d56b39ef50ec23cc,1.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n17|new_n15|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n17,new_n15,positive,,8,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.041857,cba3265239cadc70,04187000e00b1fed,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n17|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n21,new_n17,positive,,8,sampled_contextual_candidate,unresolved,sampled_contextual,disproven,rejected_non_equivalent,abc_cec_contextual_miter,0.052887,7b53c6d383ae83d7,d56b39ef50ec23cc,1.0,results/odc_anchor_generation/odc_formal_proofs.csv,rejected_non_equivalent
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n17|new_n17|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,new_n23;new_n26;sum1,combined,new_n17,new_n17,inverted,,1,sampled_contextual_candidate,unresolved,sampled_contextual,alignment_failure,not_run,abc_cec_contextual_miter,0.000284,cba3265239cadc70,d56b39ef50ec23cc,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,missing_observable_output:new_n23;new_n26
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n21|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,new_n23;new_n26;sum1,combined,new_n21,new_n21,inverted,,1,sampled_contextual_candidate,unresolved,sampled_contextual,alignment_failure,not_run,abc_cec_contextual_miter,0.000200,7b53c6d383ae83d7,2a6ed23c6d19be7c,1.0,results/odc_anchor_generation/odc_formal_proofs.csv,missing_observable_output:new_n23;new_n26
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n22|new_n22|new_n22|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,new_n23;new_n26;sum1,combined,new_n22,new_n22,inverted,,1,sampled_contextual_candidate,unresolved,sampled_contextual,alignment_failure,not_run,abc_cec_contextual_miter,0.000188,86a4eb7b7a6e77a7,e817178d91bc86a3,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,missing_observable_output:new_n23;new_n26
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|coi_output_odc|combined|new_n17|new_n17|new_n17|positive,generated_adder_4,dc2,adder_bit1_carry_sum_region,coi_output_odc,new_n23;new_n26;sum1,combined,new_n17,new_n17,positive,,2,sampled_contextual_candidate,unresolved,sampled_contextual,alignment_failure,not_run,abc_cec_contextual_miter,0.000181,cba3265239cadc70,d56b39ef50ec23cc,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,missing_observable_output:new_n23;new_n26
