target_id,source_artifact,optimized_artifact,reconstruction_status,reconstructed_target,proof_status,reason,schema_version
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,variants/generated_adder_4_original.blif,variants/generated_adder_4_dc2.blif,provenance_reconstructed_exact,new_n17,equivalent,artifact_resolved_but_historical_target_not_necessary_for_selected_interface,necessity_first_targets_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,variants/generated_adder_4_original.blif,variants/generated_adder_4_dc2.blif,provenance_reconstructed_exact,new_n17,equivalent,artifact_resolved_but_historical_target_not_necessary_for_selected_interface,necessity_first_targets_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,variants/generated_adder_4_original.blif,variants/generated_adder_4_dc2.blif,provenance_reconstructed_exact,new_n19,equivalent,artifact_resolved_but_historical_target_not_necessary_for_selected_interface,necessity_first_targets_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,variants/generated_adder_4_original.blif,variants/generated_adder_4_resyn2.blif,provenance_reconstructed_exact,new_n17,equivalent,artifact_resolved_but_historical_target_not_necessary_for_selected_interface,necessity_first_targets_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,variants/generated_adder_4_original.blif,variants/generated_adder_4_resyn2.blif,provenance_reconstructed_exact,new_n17,equivalent,artifact_resolved_but_historical_target_not_necessary_for_selected_interface,necessity_first_targets_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,variants/generated_adder_4_original.blif,variants/generated_adder_4_resyn2.blif,provenance_reconstructed_exact,new_n19,equivalent,artifact_resolved_but_historical_target_not_necessary_for_selected_interface,necessity_first_targets_v1
generated_mux_tree_4|mux_tree_root|dc2|new_n10,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_dc2.blif,provenance_reconstructed_exact,new_n10,equivalent,artifact_resolved_but_historical_target_not_necessary_for_selected_interface,necessity_first_targets_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n12,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_resyn2.blif,provenance_reconstructed_exact,new_n12,equivalent,artifact_resolved_but_historical_target_not_necessary_for_selected_interface,necessity_first_targets_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n9,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_resyn2.blif,provenance_reconstructed_exact,new_n9,equivalent,artifact_resolved_but_historical_target_not_necessary_for_selected_interface,necessity_first_targets_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_dc2.blif,provenance_reconstructed_exact,new_n18,equivalent,artifact_resolved_but_historical_target_not_necessary_for_selected_interface,necessity_first_targets_v1
