benchmark,circuit,optimization,path_length,path_index,optimized_node,mapped_original_node,mapping_category,ranking_mode,baseline_rank,enhanced_rank,rank_delta,cofactor_consistency_score,max_cofactor_error,sensitivity_cosine_similarity,boolean_difference_similarity,functional_feature_mode,functional_feature_evidence_level
external_iscas85_c2670,c2670,balance,17,1,new_n264,new_n264,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,2,new_n265,new_n265,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,3,new_n272,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,4,G2559,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,5,new_n792,new_n792,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,6,new_n795,new_n796,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,7,new_n893,new_n904,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,8,new_n895,new_n906,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,9,new_n896,new_n907,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,10,new_n898,new_n909,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,11,new_n906,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,12,new_n907,new_n917,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,13,new_n912,new_n922,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,14,new_n916,new_n923,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,15,new_n921,new_n924,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,16,new_n922,new_n925,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,balance,17,17,G2591,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,1,new_n296,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,2,new_n298,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,3,new_n299,,unresolved,full_combined,,,,,,,,,
