optimization,ranking_mode,candidate_count,target_nodes,targets_with_verified_candidate,precision_at_1,precision_at_3,precision_at_5,precision_at_10,mean_reciprocal_rank,mean_first_verified_rank,median_first_verified_rank,sat_cec_calls_per_verified_recovery,runtime_seconds,verified_recoveries_budget_1,verified_recoveries_budget_3,verified_recoveries_budget_5,verified_recoveries_budget_10
balance,baseline,16,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03634883393533528,0,0,0,0
balance,cofactor_only,16,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037329459097236395,0,0,0,0
balance,sensitivity_only,16,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037103916984051466,0,0,0,0
balance,cofactor_plus_sensitivity,16,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03715400001965463,0,0,0,0
balance,full_combined,16,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036857500206679106,0,0,0,0
dc2,baseline,24,18,10,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,1.0,1.0,1.0,0.04350258409976959,10,10,10,10
dc2,cofactor_only,24,18,10,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,1.0,1.0,1.0,0.04491554107517004,10,10,10,10
dc2,sensitivity_only,24,18,10,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,1.0,1.0,1.0,0.04542450001463294,10,10,10,10
dc2,cofactor_plus_sensitivity,24,18,10,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,1.0,1.0,1.0,0.045737250009551644,10,10,10,10
dc2,full_combined,24,18,10,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,1.0,1.0,1.0,0.044702041894197464,10,10,10,10
resyn2,baseline,24,16,4,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,0.04023908288218081,4,4,4,4
resyn2,cofactor_only,24,16,4,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,0.041350417071953416,4,4,4,4
resyn2,sensitivity_only,24,16,4,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,0.04145662486553192,4,4,4,4
resyn2,cofactor_plus_sensitivity,24,16,4,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,0.041319499956443906,4,4,4,4
resyn2,full_combined,24,16,4,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,0.04094983311370015,4,4,4,4
rewrite,baseline,24,16,8,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.04066312499344349,8,8,8,8
rewrite,cofactor_only,24,16,8,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.041853749891743064,8,8,8,8
rewrite,sensitivity_only,24,16,8,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.04193124989978969,8,8,8,8
rewrite,cofactor_plus_sensitivity,24,16,8,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.048138041980564594,8,8,8,8
rewrite,full_combined,24,16,8,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.041253000032156706,8,8,8,8
