support_size_bucket,ranking_mode,candidate_count,target_nodes,targets_with_verified_candidate,precision_at_1,precision_at_3,precision_at_5,precision_at_10,mean_reciprocal_rank,mean_first_verified_rank,median_first_verified_rank,sat_cec_calls_per_verified_recovery,runtime_seconds,verified_recoveries_budget_1,verified_recoveries_budget_3,verified_recoveries_budget_5,verified_recoveries_budget_10
0-4,baseline,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012730625225231051,0,0,0,0
0-4,cofactor_only,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012682166183367372,0,0,0,0
0-4,sensitivity_only,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012634834041818976,0,0,0,0
0-4,cofactor_plus_sensitivity,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012696834048256278,0,0,0,0
0-4,full_combined,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012539833085611463,0,0,0,0
13+,baseline,44,43,22,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,1.0,1.0,1.0,1.0,0.09248729096725583,22,22,22,22
13+,cofactor_only,44,43,22,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,1.0,1.0,1.0,1.0,0.09351904108189046,22,22,22,22
13+,sensitivity_only,44,43,22,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,1.0,1.0,1.0,1.0,0.0951569580938667,22,22,22,22
13+,cofactor_plus_sensitivity,44,43,22,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,1.0,1.0,1.0,1.0,0.10108487494289875,22,22,22,22
13+,full_combined,44,43,22,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,1.0,1.0,1.0,1.0,0.0929044580552727,22,22,22,22
5-8,baseline,38,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04937283298932016,0,0,0,0
5-8,cofactor_only,38,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049252500059083104,0,0,0,0
5-8,sensitivity_only,38,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04956758301705122,0,0,0,0
5-8,cofactor_plus_sensitivity,38,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04967795894481242,0,0,0,0
5-8,full_combined,38,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049289541086182,0,0,0,0
