benchmark,optimization,optimized_node,original_candidate,combined_score,rank,support_overlap,is_exact_signature_match,match_category,signature_match_on_patterns,formal_truth_table_match,pattern_count,is_formal_exact_mode,sat_status,abc_result,recovery_method,notes,same_polarity_status,complement_status,polarity_checked
generated_multiplier_2,balance,new_n12,new_n16,0.8624999999999999,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,balance,new_n13,new_n16,0.8624999999999999,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,balance,new_n16,new_n18,0.915625,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,balance,new_n16,new_n12,0.8624999999999999,3,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,balance,new_n16,new_n13,0.8624999999999999,4,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,balance,new_n17,new_n18,0.896875,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,balance,new_n18,new_n16,0.915625,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,balance,new_n18,new_n17,0.896875,3,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,refactor,new_n12,new_n18,0.915625,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,refactor,new_n12,new_n12,0.8624999999999999,3,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,refactor,new_n12,new_n13,0.8624999999999999,4,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,refactor_z,new_n12,new_n18,0.915625,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,refactor_z,new_n12,new_n12,0.8624999999999999,3,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,refactor_z,new_n12,new_n13,0.8624999999999999,4,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,resub,new_n12,new_n16,0.8624999999999999,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,resub,new_n13,new_n16,0.8624999999999999,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,resyn,new_n12,new_n16,0.8624999999999999,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,resyn,new_n13,new_n16,0.8624999999999999,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,rewrite,new_n12,new_n16,0.8624999999999999,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,rewrite,new_n13,new_n16,0.8624999999999999,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,rewrite_z,new_n12,new_n16,0.8624999999999999,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_2,rewrite_z,new_n13,new_n16,0.8624999999999999,2,1.0,0,non_exact_candidate,0,0,16,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_4,balance,new_n20,new_n24,0.8624999999999999,2,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_4,balance,new_n21,new_n24,0.8624999999999999,2,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_4,balance,new_n24,new_n26,0.8628125,3,0.8,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_4,balance,new_n24,new_n38,0.8628125,4,0.8,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_4,balance,new_n24,new_n20,0.8624999999999999,5,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_4,balance,new_n26,new_n38,0.965625,2,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_4,balance,new_n26,new_n39,0.9128125,3,0.8,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_4,balance,new_n26,new_n24,0.8628125,4,0.8,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_4,balance,new_n26,new_n27,0.8624999999999999,5,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_4,balance,new_n27,new_n30,0.9161458333333332,2,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
generated_multiplier_4,balance,new_n27,new_n26,0.8624999999999999,3,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,,rejected,rejected,original == NOT optimized
