validation_layer,dimension,bucket,rejected_count,avg_combined_score,avg_support_overlap
rank1_nonexact_recovery,optimization,balance,10,0.9394140625000003,1.0
rank1_nonexact_recovery,optimization,compress2rs,49,0.9213497156675169,0.9974489795918368
rank1_nonexact_recovery,optimization,dc2,57,0.9167854532163743,0.9978070175438597
rank1_nonexact_recovery,optimization,refactor,17,0.916888786764706,1.0
rank1_nonexact_recovery,optimization,refactor_z,43,0.9162131328730619,1.0
rank1_nonexact_recovery,optimization,resub,5,0.9459244791666667,1.0
rank1_nonexact_recovery,optimization,resyn,55,0.9170619081439393,0.9977272727272727
rank1_nonexact_recovery,optimization,resyn2,54,0.9190461636766976,0.9976851851851852
rank1_nonexact_recovery,optimization,resyn2_like,54,0.9190461636766976,0.9976851851851852
rank1_nonexact_recovery,optimization,rewrite,27,0.9208092206790125,1.0
rank1_nonexact_recovery,optimization,rewrite_z,54,0.9173470353491511,0.9976851851851852
topk_nonexact_recovery,optimization,balance,260,0.8954364022798077,0.986401098901099
topk_nonexact_recovery,optimization,compress2rs,147,0.8868892515918984,0.9870100421120829
topk_nonexact_recovery,optimization,dc2,158,0.8907161756909581,0.9873869801084991
topk_nonexact_recovery,optimization,refactor,203,0.8960750407954455,0.9859605911330048
topk_nonexact_recovery,optimization,refactor_z,184,0.8892737717822636,0.9853713768115943
topk_nonexact_recovery,optimization,resub,219,0.8913112428025741,0.9901609045444663
topk_nonexact_recovery,optimization,resyn,165,0.8888843913609538,0.9871645021645022
topk_nonexact_recovery,optimization,resyn2,161,0.8895399041897974,0.9868456078083407
topk_nonexact_recovery,optimization,resyn2_like,161,0.8895399041897974,0.9868456078083407
topk_nonexact_recovery,optimization,rewrite,171,0.8884266214515666,0.9909147869674186
topk_nonexact_recovery,optimization,rewrite_z,164,0.892916738289023,0.9841898954703834
rank1_nonexact_recovery,optimization_group,aggressive,214,0.9189714606454439,0.9976635514018691
rank1_nonexact_recovery,optimization_group,mild,42,0.9282288566468253,1.0
rank1_nonexact_recovery,optimization_group,moderate,169,0.9169196387296598,0.9985207100591716
topk_nonexact_recovery,optimization_group,aggressive,627,0.8892148722365156,0.9870205817574238
topk_nonexact_recovery,optimization_group,mild,650,0.8922024292842025,0.9888553113553114
topk_nonexact_recovery,optimization_group,moderate,716,0.8919467555074988,0.9856810321894122
rank1_nonexact_recovery,benchmark_family,generated,400,0.9225123087565104,0.998125
rank1_nonexact_recovery,benchmark_family,real_hand_written,17,0.8647058823529411,1.0
rank1_nonexact_recovery,benchmark_family,toy,8,0.8624999999999999,1.0
topk_nonexact_recovery,benchmark_family,generated,1991,0.8911994881317911,0.9871247996938606
topk_nonexact_recovery,benchmark_family,real_hand_written,2,0.8624999999999999,1.0
rank1_nonexact_recovery,combined_score_bucket,0.85-0.90,167,0.8730964535772205,1.0
rank1_nonexact_recovery,combined_score_bucket,0.90-0.95,148,0.9311191098324887,0.9949324324324325
rank1_nonexact_recovery,combined_score_bucket,0.95-1.00,110,0.9726562500000002,1.0
topk_nonexact_recovery,combined_score_bucket,0.85-0.90,1251,0.872098794322475,0.9848073921814929
topk_nonexact_recovery,combined_score_bucket,0.90-0.95,693,0.9197642881283978,0.9904349618635334
topk_nonexact_recovery,combined_score_bucket,0.95-1.00,49,0.9736926020408163,1.0
rank1_nonexact_recovery,support_overlap_bucket,0.75-0.90,6,0.9383463541666667,0.875
rank1_nonexact_recovery,support_overlap_bucket,1.00,419,0.9187943803761436,1.0
topk_nonexact_recovery,support_overlap_bucket,0.50-0.75,6,0.8742187499999999,0.7142857142857143
topk_nonexact_recovery,support_overlap_bucket,0.75-0.90,147,0.881957507457348,0.8372772918691285
topk_nonexact_recovery,support_overlap_bucket,1.00,1840,0.8919620188990031,1.0
