benchmark,optimization,verified,rejected,inconclusive,total,verification_rate,rejection_rate,inconclusive_rate,avg_combined_score,direct_name_count,fingerprint_recovered,still_inconclusive,exact_anchor_verified,exact_anchor_rejected,exact_anchor_inconclusive,non_exact_verified,non_exact_rejected,non_exact_inconclusive
external_iscas85_c1355,balance,0,100,0,100,0.0,1.0,0.0,0.9956,100,0,0,0,0,0,0,100,0
external_iscas85_c1355,compress2rs,0,68,0,68,0.0,1.0,0.0,0.8867,68,0,0,0,0,0,0,68,0
external_iscas85_c1355,dc2,0,57,0,57,0.0,1.0,0.0,0.8929,57,0,0,0,0,0,0,57,0
external_iscas85_c1355,refactor,0,131,0,131,0.0,1.0,0.0,0.9489,131,0,0,0,0,0,0,131,0
external_iscas85_c1355,refactor_z,0,102,0,102,0.0,1.0,0.0,0.94,102,0,0,0,0,0,0,102,0
external_iscas85_c1355,resyn,0,36,0,36,0.0,1.0,0.0,0.9098,36,0,0,0,0,0,0,36,0
external_iscas85_c1355,resyn2,0,68,0,68,0.0,1.0,0.0,0.8867,68,0,0,0,0,0,0,68,0
external_iscas85_c1355,resyn2_like,0,68,0,68,0.0,1.0,0.0,0.8867,68,0,0,0,0,0,0,68,0
external_iscas85_c1355,rewrite,0,84,0,84,0.0,1.0,0.0,0.9108,84,0,0,0,0,0,0,84,0
external_iscas85_c1355,rewrite_z,0,58,0,58,0.0,1.0,0.0,0.9071,58,0,0,0,0,0,0,58,0
external_iscas85_c1908,balance,0,51,0,51,0.0,1.0,0.0,0.9586,51,0,0,0,0,0,0,51,0
external_iscas85_c1908,compress2rs,0,61,0,61,0.0,1.0,0.0,0.941,61,0,0,0,0,0,0,61,0
external_iscas85_c1908,dc2,0,79,0,79,0.0,1.0,0.0,0.9409,79,0,0,0,0,0,0,79,0
external_iscas85_c1908,refactor,0,21,0,21,0.0,1.0,0.0,0.9534,21,0,0,0,0,0,0,21,0
external_iscas85_c1908,refactor_z,0,39,0,39,0.0,1.0,0.0,0.9733,39,0,0,0,0,0,0,39,0
external_iscas85_c1908,resub,0,18,0,18,0.0,1.0,0.0,0.934,18,0,0,0,0,0,0,18,0
external_iscas85_c1908,resyn,0,73,0,73,0.0,1.0,0.0,0.9337,73,0,0,0,0,0,0,73,0
external_iscas85_c1908,resyn2,0,65,0,65,0.0,1.0,0.0,0.9327,65,0,0,0,0,0,0,65,0
external_iscas85_c1908,resyn2_like,0,65,0,65,0.0,1.0,0.0,0.9327,65,0,0,0,0,0,0,65,0
external_iscas85_c1908,rewrite,0,23,0,23,0.0,1.0,0.0,0.9477,23,0,0,0,0,0,0,23,0
external_iscas85_c1908,rewrite_z,0,72,0,72,0.0,1.0,0.0,0.9418,72,0,0,0,0,0,0,72,0
external_iscas85_c2670,balance,0,12,0,12,0.0,1.0,0.0,0.8894,12,0,0,0,0,0,0,12,0
external_iscas85_c2670,compress2rs,50,35,0,85,0.5882,0.4118,0.0,0.8927,85,0,0,0,0,0,50,35,0
external_iscas85_c2670,dc2,7,44,0,51,0.1373,0.8627,0.0,0.9003,51,0,0,0,0,0,7,44,0
external_iscas85_c2670,refactor,86,37,0,123,0.6992,0.3008,0.0,0.9012,123,0,0,0,0,0,86,37,0
external_iscas85_c2670,refactor_z,59,49,0,108,0.5463,0.4537,0.0,0.8925,108,0,0,0,0,0,59,49,0
external_iscas85_c2670,resyn,0,57,0,57,0.0,1.0,0.0,0.8818,57,0,0,0,0,0,0,57,0
external_iscas85_c2670,resyn2,50,35,0,85,0.5882,0.4118,0.0,0.8927,85,0,0,0,0,0,50,35,0
external_iscas85_c2670,resyn2_like,50,35,0,85,0.5882,0.4118,0.0,0.8927,85,0,0,0,0,0,50,35,0
external_iscas85_c2670,rewrite,0,32,0,32,0.0,1.0,0.0,0.9026,32,0,0,0,0,0,0,32,0
external_iscas85_c2670,rewrite_z,0,56,0,56,0.0,1.0,0.0,0.9122,56,0,0,0,0,0,0,56,0
external_iscas85_c3540,balance,0,68,0,68,0.0,1.0,0.0,0.9116,68,0,0,0,0,0,0,68,0
external_iscas85_c3540,compress2rs,0,108,0,108,0.0,1.0,0.0,0.9041,108,0,0,0,0,0,0,108,0
external_iscas85_c3540,dc2,0,131,0,131,0.0,1.0,0.0,0.9047,131,0,0,0,0,0,0,131,0
external_iscas85_c3540,refactor,0,74,0,74,0.0,1.0,0.0,0.9326,74,0,0,0,0,0,0,74,0
external_iscas85_c3540,refactor_z,0,105,0,105,0.0,1.0,0.0,0.922,105,0,0,0,0,0,0,105,0
external_iscas85_c3540,resub,0,3,0,3,0.0,1.0,0.0,0.9458,3,0,0,0,0,0,0,3,0
external_iscas85_c3540,resyn,0,102,0,102,0.0,1.0,0.0,0.8905,102,0,0,0,0,0,0,102,0
external_iscas85_c3540,resyn2,0,104,0,104,0.0,1.0,0.0,0.9049,104,0,0,0,0,0,0,104,0
external_iscas85_c3540,resyn2_like,0,104,0,104,0.0,1.0,0.0,0.9049,104,0,0,0,0,0,0,104,0
external_iscas85_c3540,rewrite,0,67,0,67,0.0,1.0,0.0,0.9327,67,0,0,0,0,0,0,67,0
external_iscas85_c3540,rewrite_z,0,210,0,210,0.0,1.0,0.0,0.9127,210,0,0,0,0,0,0,210,0
external_iscas85_c432,balance,0,6,0,6,0.0,1.0,0.0,0.8834,6,0,0,0,0,0,0,6,0
external_iscas85_c432,compress2rs,6,2,0,8,0.75,0.25,0.0,0.858,8,0,0,0,0,0,6,2,0
external_iscas85_c432,dc2,6,4,0,10,0.6,0.4,0.0,0.8709,10,0,0,0,0,0,6,4,0
external_iscas85_c432,refactor,4,0,0,4,1.0,0.0,0.0,0.925,4,0,0,0,0,0,4,0,0
