benchmark,optimization,optimized_node,original_candidate,combined_score,rank,support_overlap,is_exact_signature_match,match_category,signature_match_on_patterns,formal_truth_table_match,pattern_count,is_formal_exact_mode,sat_status,abc_result,recovery_method,notes
generated_multiplier_4,balance,new_n41,new_n40,0.965625,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,balance,new_n66,new_n65,0.9484375,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,balance,new_n74,new_n73,0.965625,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,balance,new_n94,new_n93,0.944140625,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,balance,new_n102,new_n101,0.9806640625,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,balance,new_n118,new_n117,0.9419921875,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,balance,new_n123,new_n122,0.978515625,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,balance,new_n135,new_n134,0.944140625,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,compress2rs,new_n26,new_n20,0.8624999999999999,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,compress2rs,new_n27,new_n27,0.965625,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,compress2rs,new_n28,new_n31,0.9161458333333332,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,compress2rs,new_n37,new_n26,0.915625,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,compress2rs,new_n39,new_n45,0.91640625,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,compress2rs,new_n40,new_n37,0.9484375,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,compress2rs,new_n44,new_n47,0.95703125,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,
generated_multiplier_4,compress2rs,new_n45,new_n53,0.88203125,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,compress2rs,new_n46,new_n55,0.8734375,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,compress2rs,new_n47,new_n64,0.965625,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,compress2rs,new_n48,new_n57,0.8734375,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.01 sec,direct,
generated_multiplier_4,compress2rs,new_n49,new_n55,0.8640625000000001,1,1.0,0,non_exact_candidate,0,0,256,1,rejected,Networks are NOT EQUIVALENT.  Time =     0.00 sec,direct,
