metric,value,evidence,command_or_source,schema_version
baseline_head,1739ea690d4dc6c300e711e58497177e43495e13,git,git rev-parse HEAD,semantic_functional_refactoring_baseline_v1
branch,main,git,git branch --show-current,semantic_functional_refactoring_baseline_v1
remote,https://github.com/stefi19/aig_optimization_experiments.git,git,git remote -v,semantic_functional_refactoring_baseline_v1
python_version,3.11.15,runtime,.venv-z3/bin/python,semantic_functional_refactoring_baseline_v1
z3_version,4.16.0,solver,make check-z3,semantic_functional_refactoring_baseline_v1
abc_available,true,infrastructure,.abc_build/abc_repo/abc,semantic_functional_refactoring_baseline_v1
complete_pytest,720 passed; 4 skipped,test,.venv-z3/bin/python -m pytest -q,semantic_functional_refactoring_baseline_v1
z3_smoke,passed,test,make check-z3,semantic_functional_refactoring_baseline_v1
exhaustive_z3_agreement,192/192,result,make semantic-z3-crosscheck,semantic_functional_refactoring_baseline_v1
previous_isolated_grafting_attempts,276,result,results/semantic_grafting/graft_placement_attempts.csv,semantic_functional_refactoring_baseline_v1
previous_isolated_graph_active_anchors,0,result,results/semantic_grafting/graft_placement_attempts.csv,semantic_functional_refactoring_baseline_v1
fixed_region_controlled_restored_boundaries,5,result,results/semantic_region_replacement/boundary_restoration_results.csv,semantic_functional_refactoring_baseline_v1
joint_controlled_restored_boundaries,8,result,results/joint_region_interface_discovery/boundary_restoration_results.csv,semantic_functional_refactoring_baseline_v1
joint_prior_real_seeds,46,result,results/joint_region_interface_discovery/real_benchmark_results.csv,semantic_functional_refactoring_baseline_v1
joint_fresh_real_seeds,12,result,results/joint_region_interface_discovery/real_benchmark_results.csv,semantic_functional_refactoring_baseline_v1
joint_development_real_restorations,0,result,results/joint_region_interface_discovery/heldout_results.csv,semantic_functional_refactoring_baseline_v1
joint_heldout_real_restorations,0,result,results/joint_region_interface_discovery/heldout_results.csv,semantic_functional_refactoring_baseline_v1
