benchmark,expected_outcome,final_status,decomposition_status,quotient_status,non_vacuity_status,graph_active,global_cec_status,restored_boundary,rejection_reason,schema_version
distributed_affine_divisor,positive_refactoring,accepted,decomposable,synthesized_truth_table,non_vacuous_depends_on_m,true,equivalent,true,,semantic_functional_refactoring_v1
shared_add_add_divisor,positive_refactoring,accepted,decomposable,synthesized_truth_table,non_vacuous_depends_on_m,true,equivalent,true,,semantic_functional_refactoring_v1
bilinear_divisor,positive_refactoring,accepted,decomposable,synthesized_truth_table,non_vacuous_depends_on_m,true,equivalent,true,,semantic_functional_refactoring_v1
mac_divisor,positive_refactoring,accepted,decomposable,synthesized_truth_table,non_vacuous_depends_on_m,true,equivalent,true,,semantic_functional_refactoring_v1
reordered_multi_output_divisor,positive_refactoring,accepted,decomposable,synthesized_truth_table,non_vacuous_depends_on_m,true,equivalent,true,,semantic_functional_refactoring_v1
boolean_obscured_divisor,positive_refactoring,accepted,decomposable,synthesized_truth_table,non_vacuous_depends_on_m,true,equivalent,true,,semantic_functional_refactoring_v1
closed_region_fails_decomposition_succeeds,positive_refactoring,accepted,decomposable,synthesized_truth_table,non_vacuous_depends_on_m,true,equivalent,true,,semantic_functional_refactoring_v1
joint_bypass_fails_decomposition_succeeds,positive_refactoring,accepted,decomposable,synthesized_truth_table,non_vacuous_depends_on_m,true,equivalent,true,,semantic_functional_refactoring_v1
requires_residual_variable,positive_refactoring,accepted,decomposable,synthesized_truth_table,non_vacuous_depends_on_m,true,equivalent,true,,semantic_functional_refactoring_v1
requires_multi_output_m,positive_refactoring,accepted,decomposable,synthesized_truth_table,non_vacuous_depends_on_m,true,equivalent,true,,semantic_functional_refactoring_v1
negative_information_lost,negative_non_decomposable,rejected,non_decomposable,not_run_decomposition_failed,not_run,false,not_run,false,formally_non_decomposable_for_selected_g_z_window,semantic_functional_refactoring_v1
negative_h_ignores_m,negative_vacuous,rejected,decomposable,synthesized_truth_table,vacuous_h_ignores_m,false,not_run,false,quotient_ignores_m,semantic_functional_refactoring_v1
negative_identity_divisor,negative_identity,rejected,decomposable,synthesized_truth_table,non_vacuous_depends_on_m,false,not_run,false,identity_vacuous_decomposition,semantic_functional_refactoring_v1
