candidate_id,benchmark,split,divisor_id,window_id,divisor_support,residual_support,divisor_outputs,window_outputs,grammar_tier,source_blind,fingerprint,schema_version
distributed_affine_divisor__decomp,distributed_affine_divisor,dev,distributed_affine_divisor__divisor,distributed_affine_divisor__window,"[""x0"", ""x1""]","[""c0"", ""c1"", ""d0"", ""d1""]","[""m0"", ""m1""]","[""y0"", ""y1"", ""z0"", ""z1""]",controlled_compositional,true,2705462fae25271f,semantic_functional_refactoring_v1
shared_add_add_divisor__decomp,shared_add_add_divisor,dev,shared_add_add_divisor__divisor,shared_add_add_divisor__window,"[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1""]","[""r0"", ""r1""]","[""m0"", ""m1""]","[""o0"", ""o1"", ""p0"", ""p1""]",controlled_compositional,true,ab6a22405afed7a8,semantic_functional_refactoring_v1
bilinear_divisor__decomp,bilinear_divisor,dev,bilinear_divisor__divisor,bilinear_divisor__window,"[""x0"", ""x1"", ""y0"", ""y1"", ""c0"", ""c1""]","[""r0"", ""r1""]","[""m0"", ""m1""]","[""o0"", ""o1"", ""p0"", ""p1""]",controlled_compositional,true,00e91367fbf7e04e,semantic_functional_refactoring_v1
mac_divisor__decomp,mac_divisor,dev,mac_divisor__divisor,mac_divisor__window,"[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1""]","[""r0"", ""r1""]","[""m0"", ""m1""]","[""o0"", ""o1"", ""p0"", ""p1""]",controlled_compositional,true,00c9fb78cbddf3ab,semantic_functional_refactoring_v1
reordered_multi_output_divisor__decomp,reordered_multi_output_divisor,dev,reordered_multi_output_divisor__divisor,reordered_multi_output_divisor__window,"[""x1"", ""x0""]","[""r0"", ""r1""]","[""m0"", ""m1""]","[""o0"", ""o1""]",controlled_compositional,true,8239ea2005d35af7,semantic_functional_refactoring_v1
boolean_obscured_divisor__decomp,boolean_obscured_divisor,dev,boolean_obscured_divisor__divisor,boolean_obscured_divisor__window,"[""x0"", ""x1""]","[""r0""]","[""m0"", ""m1""]","[""o0"", ""o1""]",controlled_compositional,true,0bfd41fd23780686,semantic_functional_refactoring_v1
closed_region_fails_decomposition_succeeds__decomp,closed_region_fails_decomposition_succeeds,dev,closed_region_fails_decomposition_succeeds__divisor,closed_region_fails_decomposition_succeeds__window,"[""x0"", ""x1""]","[""r0"", ""r1""]","[""m0"", ""m1""]","[""o0"", ""o1""]",controlled_compositional,true,faac15b7aff1d18a,semantic_functional_refactoring_v1
joint_bypass_fails_decomposition_succeeds__decomp,joint_bypass_fails_decomposition_succeeds,heldout,joint_bypass_fails_decomposition_succeeds__divisor,joint_bypass_fails_decomposition_succeeds__window,"[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1""]","[""r0"", ""r1""]","[""m0"", ""m1""]","[""o0"", ""o1""]",controlled_compositional,true,844d9a4bc84964e9,semantic_functional_refactoring_v1
requires_residual_variable__decomp,requires_residual_variable,dev,requires_residual_variable__divisor,requires_residual_variable__window,"[""x0"", ""x1""]","[""r0"", ""r1""]","[""m0"", ""m1""]","[""o0"", ""o1""]",controlled_compositional,true,56bcf4a4d552f7ab,semantic_functional_refactoring_v1
requires_multi_output_m__decomp,requires_multi_output_m,dev,requires_multi_output_m__divisor,requires_multi_output_m__window,"[""x0"", ""x1""]","[""r0""]","[""m0"", ""m1""]","[""o0"", ""o1""]",controlled_compositional,true,077c4c88650de95a,semantic_functional_refactoring_v1
negative_information_lost__decomp,negative_information_lost,heldout,negative_information_lost__divisor,negative_information_lost__window,"[""x0""]",[],"[""m0""]","[""o0""]",controlled_compositional,true,8bd6d3549884fdbf,semantic_functional_refactoring_v1
negative_h_ignores_m__decomp,negative_h_ignores_m,dev,negative_h_ignores_m__divisor,negative_h_ignores_m__window,"[""x0""]","[""r0""]","[""m0""]","[""o0""]",controlled_compositional,true,e89edfffebc65d69,semantic_functional_refactoring_v1
negative_identity_divisor__decomp,negative_identity_divisor,dev,negative_identity_divisor__divisor,negative_identity_divisor__window,"[""x0"", ""x1""]",[],"[""m0"", ""m1""]","[""o0"", ""o1""]",controlled_compositional,true,22af382e1680634f,semantic_functional_refactoring_v1
