divisor_id,benchmark,origin,support_buses,output_buses,semantic_family,semantic_cost,canonical_form,source_blind,fingerprint,schema_version
distributed_affine_divisor__divisor,distributed_affine_divisor,controlled_source_blind_template,"[{""name"": ""x"", ""ordered_member_nodes"": [""x0"", ""x1""], ""role"": ""data"", ""signed"": false, ""width"": 2}]","[{""name"": ""m"", ""ordered_member_nodes"": [""m0"", ""m1""], ""role"": ""semantic_divisor"", ""signed"": false, ""width"": 2}]",affine,5,"m=add<2,unsigned>(2'd3,mul<2,unsigned>(2'd5,x))",true,56d968aa37216ab2,semantic_functional_refactoring_v1
shared_add_add_divisor__divisor,shared_add_add_divisor,controlled_source_blind_template,"[{""name"": ""x"", ""ordered_member_nodes"": [""x0"", ""x1""], ""role"": ""data"", ""signed"": false, ""width"": 2}, {""name"": ""y"", ""ordered_member_nodes"": [""y0"", ""y1""], ""role"": ""data"", ""signed"": false, ""width"": 2}, {""name"": ""z"", ""ordered_member_nodes"": [""z0"", ""z1""], ""role"": ""data"", ""signed"": false, ""width"": 2}]","[{""name"": ""m"", ""ordered_member_nodes"": [""m0"", ""m1""], ""role"": ""semantic_divisor"", ""signed"": false, ""width"": 2}]",add_add,5,"m=add<2,unsigned>(add<2,unsigned>(x,y),z)",true,0ffca1ff7e932d0a,semantic_functional_refactoring_v1
bilinear_divisor__divisor,bilinear_divisor,controlled_source_blind_template,"[{""name"": ""x"", ""ordered_member_nodes"": [""x0"", ""x1""], ""role"": ""data"", ""signed"": false, ""width"": 2}, {""name"": ""y"", ""ordered_member_nodes"": [""y0"", ""y1""], ""role"": ""data"", ""signed"": false, ""width"": 2}, {""name"": ""c"", ""ordered_member_nodes"": [""c0"", ""c1""], ""role"": ""data"", ""signed"": false, ""width"": 2}]","[{""name"": ""m"", ""ordered_member_nodes"": [""m0"", ""m1""], ""role"": ""semantic_divisor"", ""signed"": false, ""width"": 2}]",bilinear,5,"m=add<2,unsigned>(c,mul<2,unsigned>(x,y))",true,e24671def85f225d,semantic_functional_refactoring_v1
mac_divisor__divisor,mac_divisor,controlled_source_blind_template,"[{""name"": ""a"", ""ordered_member_nodes"": [""a0"", ""a1""], ""role"": ""data"", ""signed"": false, ""width"": 2}, {""name"": ""b"", ""ordered_member_nodes"": [""b0"", ""b1""], ""role"": ""data"", ""signed"": false, ""width"": 2}, {""name"": ""c"", ""ordered_member_nodes"": [""c0"", ""c1""], ""role"": ""data"", ""signed"": false, ""width"": 2}]","[{""name"": ""m"", ""ordered_member_nodes"": [""m0"", ""m1""], ""role"": ""semantic_divisor"", ""signed"": false, ""width"": 2}]",mac,5,"m=add<2,unsigned>(c,mul<2,unsigned>(a,b))",true,c918d47425684fb6,semantic_functional_refactoring_v1
reordered_multi_output_divisor__divisor,reordered_multi_output_divisor,controlled_source_blind_template,"[{""name"": ""a"", ""ordered_member_nodes"": [""x1""], ""role"": ""data"", ""signed"": false, ""width"": 1}, {""name"": ""b"", ""ordered_member_nodes"": [""x0""], ""role"": ""data"", ""signed"": false, ""width"": 1}]","[{""name"": ""m"", ""ordered_member_nodes"": [""m0""], ""role"": ""semantic_divisor"", ""signed"": false, ""width"": 1}, {""name"": ""n"", ""ordered_member_nodes"": [""m1""], ""role"": ""semantic_divisor"", ""signed"": false, ""width"": 1}]",multi_output,2,m=a;n=b,true,f21edaac50c7d4b8,semantic_functional_refactoring_v1
boolean_obscured_divisor__divisor,boolean_obscured_divisor,controlled_source_blind_template,"[{""name"": ""x0"", ""ordered_member_nodes"": [""x0""], ""role"": ""data"", ""signed"": false, ""width"": 1}, {""name"": ""x1"", ""ordered_member_nodes"": [""x1""], ""role"": ""data"", ""signed"": false, ""width"": 1}]","[{""name"": ""m"", ""ordered_member_nodes"": [""m0""], ""role"": ""semantic_divisor"", ""signed"": false, ""width"": 1}, {""name"": ""n"", ""ordered_member_nodes"": [""m1""], ""role"": ""semantic_divisor"", ""signed"": false, ""width"": 1}]",boolean_pair,6,"m=xor<1,unsigned>(x0,x1);n=and<1,unsigned>(x0,x1)",true,9d5897e49135094e,semantic_functional_refactoring_v1
closed_region_fails_decomposition_succeeds__divisor,closed_region_fails_decomposition_succeeds,controlled_source_blind_template,"[{""name"": ""x"", ""ordered_member_nodes"": [""x0"", ""x1""], ""role"": ""data"", ""signed"": false, ""width"": 2}]","[{""name"": ""m"", ""ordered_member_nodes"": [""m0"", ""m1""], ""role"": ""semantic_divisor"", ""signed"": false, ""width"": 2}]",affine,5,"m=add<2,unsigned>(2'd3,mul<2,unsigned>(2'd5,x))",true,56d968aa37216ab2,semantic_functional_refactoring_v1
joint_bypass_fails_decomposition_succeeds__divisor,joint_bypass_fails_decomposition_succeeds,controlled_source_blind_template,"[{""name"": ""x"", ""ordered_member_nodes"": [""x0"", ""x1""], ""role"": ""data"", ""signed"": false, ""width"": 2}, {""name"": ""y"", ""ordered_member_nodes"": [""y0"", ""y1""], ""role"": ""data"", ""signed"": false, ""width"": 2}, {""name"": ""z"", ""ordered_member_nodes"": [""z0"", ""z1""], ""role"": ""data"", ""signed"": false, ""width"": 2}]","[{""name"": ""m"", ""ordered_member_nodes"": [""m0"", ""m1""], ""role"": ""semantic_divisor"", ""signed"": false, ""width"": 2}]",add_add,5,"m=add<2,unsigned>(add<2,unsigned>(x,y),z)",true,0ffca1ff7e932d0a,semantic_functional_refactoring_v1
requires_residual_variable__divisor,requires_residual_variable,controlled_source_blind_template,"[{""name"": ""x"", ""ordered_member_nodes"": [""x0"", ""x1""], ""role"": ""data"", ""signed"": false, ""width"": 2}]","[{""name"": ""m"", ""ordered_member_nodes"": [""m0"", ""m1""], ""role"": ""semantic_divisor"", ""signed"": false, ""width"": 2}]",constant_multiply,3,"m=mul<2,unsigned>(2'd3,x)",true,c1b3f8c6f8aaa54a,semantic_functional_refactoring_v1
requires_multi_output_m__divisor,requires_multi_output_m,controlled_source_blind_template,"[{""name"": ""a"", ""ordered_member_nodes"": [""x0""], ""role"": ""data"", ""signed"": false, ""width"": 1}, {""name"": ""b"", ""ordered_member_nodes"": [""x1""], ""role"": ""data"", ""signed"": false, ""width"": 1}]","[{""name"": ""m"", ""ordered_member_nodes"": [""m0""], ""role"": ""semantic_divisor"", ""signed"": false, ""width"": 1}, {""name"": ""n"", ""ordered_member_nodes"": [""m1""], ""role"": ""semantic_divisor"", ""signed"": false, ""width"": 1}]",multi_output,2,m=a;n=b,true,447a2c3fb3d00094,semantic_functional_refactoring_v1
