attempt_id,candidate_id,benchmark,abc_available,global_cec_status,abc_output,schema_version
distributed_affine_divisor__decomp__refactor,distributed_affine_divisor__decomp,distributed_affine_divisor,true,equivalent,"ring/distributed_affine_divisor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_functional_refactoring/artifacts/distributed_affine_divisor.refactored.blif"" Networks are equivalent.  Time =     0.01 sec ",semantic_functional_refactoring_v1
shared_add_add_divisor__decomp__refactor,shared_add_add_divisor__decomp,shared_add_add_divisor,true,equivalent,"_refactoring/shared_add_add_divisor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_functional_refactoring/artifacts/shared_add_add_divisor.refactored.blif"" Networks are equivalent.  Time =     0.01 sec ",semantic_functional_refactoring_v1
bilinear_divisor__decomp__refactor,bilinear_divisor__decomp,bilinear_divisor,true,equivalent,"c_functional_refactoring/bilinear_divisor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_functional_refactoring/artifacts/bilinear_divisor.refactored.blif"" Networks are equivalent.  Time =     0.01 sec ",semantic_functional_refactoring_v1
mac_divisor__decomp__refactor,mac_divisor__decomp,mac_divisor,true,equivalent,"ks/semantic_functional_refactoring/mac_divisor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_functional_refactoring/artifacts/mac_divisor.refactored.blif"" Networks are equivalent.  Time =     0.01 sec ",semantic_functional_refactoring_v1
reordered_multi_output_divisor__decomp__refactor,reordered_multi_output_divisor__decomp,reordered_multi_output_divisor,true,equivalent,"rdered_multi_output_divisor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_functional_refactoring/artifacts/reordered_multi_output_divisor.refactored.blif"" Networks are equivalent.  Time =     0.00 sec ",semantic_functional_refactoring_v1
boolean_obscured_divisor__decomp__refactor,boolean_obscured_divisor__decomp,boolean_obscured_divisor,true,equivalent,"actoring/boolean_obscured_divisor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_functional_refactoring/artifacts/boolean_obscured_divisor.refactored.blif"" Networks are equivalent.  Time =     0.00 sec ",semantic_functional_refactoring_v1
closed_region_fails_decomposition_succeeds__decomp__refactor,closed_region_fails_decomposition_succeeds__decomp,closed_region_fails_decomposition_succeeds,true,equivalent,"sition_succeeds.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_functional_refactoring/artifacts/closed_region_fails_decomposition_succeeds.refactored.blif"" Networks are equivalent.  Time =     0.00 sec ",semantic_functional_refactoring_v1
joint_bypass_fails_decomposition_succeeds__decomp__refactor,joint_bypass_fails_decomposition_succeeds__decomp,joint_bypass_fails_decomposition_succeeds,true,equivalent,"osition_succeeds.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_functional_refactoring/artifacts/joint_bypass_fails_decomposition_succeeds.refactored.blif"" Networks are equivalent.  Time =     0.01 sec ",semantic_functional_refactoring_v1
requires_residual_variable__decomp__refactor,requires_residual_variable__decomp,requires_residual_variable,true,equivalent,"ring/requires_residual_variable.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_functional_refactoring/artifacts/requires_residual_variable.refactored.blif"" Networks are equivalent.  Time =     0.00 sec ",semantic_functional_refactoring_v1
requires_multi_output_m__decomp__refactor,requires_multi_output_m__decomp,requires_multi_output_m,true,equivalent,"efactoring/requires_multi_output_m.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_functional_refactoring/artifacts/requires_multi_output_m.refactored.blif"" Networks are equivalent.  Time =     0.00 sec ",semantic_functional_refactoring_v1
negative_information_lost__decomp__refactor,negative_information_lost__decomp,negative_information_lost,true,not_run,,semantic_functional_refactoring_v1
negative_h_ignores_m__decomp__refactor,negative_h_ignores_m__decomp,negative_h_ignores_m,true,not_run,,semantic_functional_refactoring_v1
negative_identity_divisor__decomp__refactor,negative_identity_divisor__decomp,negative_identity_divisor,true,not_run,,semantic_functional_refactoring_v1
