attempt_id,candidate_id,benchmark,graph_rewrite_status,graph_active,dangling_fanins,divisor_consumers,refactored_blif,schema_version
distributed_affine_divisor__decomp__refactor,distributed_affine_divisor__decomp,distributed_affine_divisor,valid,true,[],"[""y0"", ""y1"", ""z0"", ""z1""]",results/semantic_functional_refactoring/artifacts/distributed_affine_divisor.refactored.blif,semantic_functional_refactoring_v1
shared_add_add_divisor__decomp__refactor,shared_add_add_divisor__decomp,shared_add_add_divisor,valid,true,[],"[""o0"", ""o1"", ""p0"", ""p1""]",results/semantic_functional_refactoring/artifacts/shared_add_add_divisor.refactored.blif,semantic_functional_refactoring_v1
bilinear_divisor__decomp__refactor,bilinear_divisor__decomp,bilinear_divisor,valid,true,[],"[""o0"", ""o1"", ""p0"", ""p1""]",results/semantic_functional_refactoring/artifacts/bilinear_divisor.refactored.blif,semantic_functional_refactoring_v1
mac_divisor__decomp__refactor,mac_divisor__decomp,mac_divisor,valid,true,[],"[""o0"", ""o1"", ""p0"", ""p1""]",results/semantic_functional_refactoring/artifacts/mac_divisor.refactored.blif,semantic_functional_refactoring_v1
reordered_multi_output_divisor__decomp__refactor,reordered_multi_output_divisor__decomp,reordered_multi_output_divisor,valid,true,[],"[""o0"", ""o1""]",results/semantic_functional_refactoring/artifacts/reordered_multi_output_divisor.refactored.blif,semantic_functional_refactoring_v1
boolean_obscured_divisor__decomp__refactor,boolean_obscured_divisor__decomp,boolean_obscured_divisor,valid,true,[],"[""o0"", ""o1""]",results/semantic_functional_refactoring/artifacts/boolean_obscured_divisor.refactored.blif,semantic_functional_refactoring_v1
closed_region_fails_decomposition_succeeds__decomp__refactor,closed_region_fails_decomposition_succeeds__decomp,closed_region_fails_decomposition_succeeds,valid,true,[],"[""o0"", ""o1""]",results/semantic_functional_refactoring/artifacts/closed_region_fails_decomposition_succeeds.refactored.blif,semantic_functional_refactoring_v1
joint_bypass_fails_decomposition_succeeds__decomp__refactor,joint_bypass_fails_decomposition_succeeds__decomp,joint_bypass_fails_decomposition_succeeds,valid,true,[],"[""o0"", ""o1""]",results/semantic_functional_refactoring/artifacts/joint_bypass_fails_decomposition_succeeds.refactored.blif,semantic_functional_refactoring_v1
requires_residual_variable__decomp__refactor,requires_residual_variable__decomp,requires_residual_variable,valid,true,[],"[""o0"", ""o1""]",results/semantic_functional_refactoring/artifacts/requires_residual_variable.refactored.blif,semantic_functional_refactoring_v1
requires_multi_output_m__decomp__refactor,requires_multi_output_m__decomp,requires_multi_output_m,valid,true,[],"[""o0"", ""o1""]",results/semantic_functional_refactoring/artifacts/requires_multi_output_m.refactored.blif,semantic_functional_refactoring_v1
negative_information_lost__decomp__refactor,negative_information_lost__decomp,negative_information_lost,not_run,false,[],[],results/semantic_functional_refactoring/artifacts/negative_information_lost.refactored.blif,semantic_functional_refactoring_v1
negative_h_ignores_m__decomp__refactor,negative_h_ignores_m__decomp,negative_h_ignores_m,not_run,false,[],[],,semantic_functional_refactoring_v1
negative_identity_divisor__decomp__refactor,negative_identity_divisor__decomp,negative_identity_divisor,not_run,false,[],[],,semantic_functional_refactoring_v1
