proof_id,candidate_id,benchmark,formal_status,solver_result,formal_evidence_level,counterexample_available,counterexample_reproduced,runtime_seconds,timeout,unsupported_reason,schema_version
distributed_affine_divisor__decomp__quotient_proof,distributed_affine_divisor__decomp,distributed_affine_divisor,quotient_equivalent,unsat,formal_smt,false,true,0.017473,false,,semantic_functional_refactoring_v1
shared_add_add_divisor__decomp__quotient_proof,shared_add_add_divisor__decomp,shared_add_add_divisor,quotient_equivalent,unsat,formal_smt,false,true,0.048770,false,,semantic_functional_refactoring_v1
bilinear_divisor__decomp__quotient_proof,bilinear_divisor__decomp,bilinear_divisor,quotient_equivalent,unsat,formal_smt,false,true,0.047335,false,,semantic_functional_refactoring_v1
mac_divisor__decomp__quotient_proof,mac_divisor__decomp,mac_divisor,quotient_equivalent,unsat,formal_smt,false,true,0.047648,false,,semantic_functional_refactoring_v1
reordered_multi_output_divisor__decomp__quotient_proof,reordered_multi_output_divisor__decomp,reordered_multi_output_divisor,quotient_equivalent,unsat,formal_smt,false,true,0.002259,false,,semantic_functional_refactoring_v1
boolean_obscured_divisor__decomp__quotient_proof,boolean_obscured_divisor__decomp,boolean_obscured_divisor,quotient_equivalent,unsat,formal_smt,false,true,0.001126,false,,semantic_functional_refactoring_v1
closed_region_fails_decomposition_succeeds__decomp__quotient_proof,closed_region_fails_decomposition_succeeds__decomp,closed_region_fails_decomposition_succeeds,quotient_equivalent,unsat,formal_smt,false,true,0.002200,false,,semantic_functional_refactoring_v1
joint_bypass_fails_decomposition_succeeds__decomp__quotient_proof,joint_bypass_fails_decomposition_succeeds__decomp,joint_bypass_fails_decomposition_succeeds,quotient_equivalent,unsat,formal_smt,false,true,0.026097,false,,semantic_functional_refactoring_v1
requires_residual_variable__decomp__quotient_proof,requires_residual_variable__decomp,requires_residual_variable,quotient_equivalent,unsat,formal_smt,false,true,0.002106,false,,semantic_functional_refactoring_v1
requires_multi_output_m__decomp__quotient_proof,requires_multi_output_m__decomp,requires_multi_output_m,quotient_equivalent,unsat,formal_smt,false,true,0.000956,false,,semantic_functional_refactoring_v1
negative_information_lost__decomp__quotient_proof,negative_information_lost__decomp,negative_information_lost,not_run,not_run,unresolved,false,true,0.000000,false,,semantic_functional_refactoring_v1
negative_h_ignores_m__decomp__quotient_proof,negative_h_ignores_m__decomp,negative_h_ignores_m,quotient_equivalent,unsat,formal_smt,false,true,0.000339,false,,semantic_functional_refactoring_v1
negative_identity_divisor__decomp__quotient_proof,negative_identity_divisor__decomp,negative_identity_divisor,quotient_equivalent,unsat,formal_smt,false,true,0.000503,false,,semantic_functional_refactoring_v1
