attempt_id,candidate_id,benchmark,resynthesis_status,semantic_boundary_survives,reason,schema_version
distributed_affine_divisor__decomp__refactor,distributed_affine_divisor__decomp,distributed_affine_divisor,abc_cec_equivalent_no_flatten_loss,true,global_cec_preserved_graph_active_divisor,semantic_functional_refactoring_v1
shared_add_add_divisor__decomp__refactor,shared_add_add_divisor__decomp,shared_add_add_divisor,abc_cec_equivalent_no_flatten_loss,true,global_cec_preserved_graph_active_divisor,semantic_functional_refactoring_v1
bilinear_divisor__decomp__refactor,bilinear_divisor__decomp,bilinear_divisor,abc_cec_equivalent_no_flatten_loss,true,global_cec_preserved_graph_active_divisor,semantic_functional_refactoring_v1
mac_divisor__decomp__refactor,mac_divisor__decomp,mac_divisor,abc_cec_equivalent_no_flatten_loss,true,global_cec_preserved_graph_active_divisor,semantic_functional_refactoring_v1
reordered_multi_output_divisor__decomp__refactor,reordered_multi_output_divisor__decomp,reordered_multi_output_divisor,abc_cec_equivalent_no_flatten_loss,true,global_cec_preserved_graph_active_divisor,semantic_functional_refactoring_v1
boolean_obscured_divisor__decomp__refactor,boolean_obscured_divisor__decomp,boolean_obscured_divisor,abc_cec_equivalent_no_flatten_loss,true,global_cec_preserved_graph_active_divisor,semantic_functional_refactoring_v1
closed_region_fails_decomposition_succeeds__decomp__refactor,closed_region_fails_decomposition_succeeds__decomp,closed_region_fails_decomposition_succeeds,abc_cec_equivalent_no_flatten_loss,true,global_cec_preserved_graph_active_divisor,semantic_functional_refactoring_v1
joint_bypass_fails_decomposition_succeeds__decomp__refactor,joint_bypass_fails_decomposition_succeeds__decomp,joint_bypass_fails_decomposition_succeeds,abc_cec_equivalent_no_flatten_loss,true,global_cec_preserved_graph_active_divisor,semantic_functional_refactoring_v1
requires_residual_variable__decomp__refactor,requires_residual_variable__decomp,requires_residual_variable,abc_cec_equivalent_no_flatten_loss,true,global_cec_preserved_graph_active_divisor,semantic_functional_refactoring_v1
requires_multi_output_m__decomp__refactor,requires_multi_output_m__decomp,requires_multi_output_m,abc_cec_equivalent_no_flatten_loss,true,global_cec_preserved_graph_active_divisor,semantic_functional_refactoring_v1
negative_information_lost__decomp__refactor,negative_information_lost__decomp,negative_information_lost,not_run_or_not_survived,false,replacement_not_accepted,semantic_functional_refactoring_v1
negative_h_ignores_m__decomp__refactor,negative_h_ignores_m__decomp,negative_h_ignores_m,not_run_or_not_survived,false,replacement_not_accepted,semantic_functional_refactoring_v1
negative_identity_divisor__decomp__refactor,negative_identity_divisor__decomp,negative_identity_divisor,not_run_or_not_survived,false,replacement_not_accepted,semantic_functional_refactoring_v1
