attempt_id,graft_strategy,graft_origin,region_id,candidate_id,target_implementation_node,recovered_expression,expression_inputs,selected_on_frontier,graph_active,cycle_free,incoming_bypass_count,outgoing_bypass_count,extension_ratio,whole_design_expansion,region_proof_status,global_cec_status,contextual_cec_status,boundary_validation_status,acceptance_status,rejection_reason,proof_scope,evidence_level,schema_version
attempt_00001,in_place_implementation_semantic_normalisation,cegis_reconstructed_expression,bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6__identity__ground_truth_region__blind_cegis__0069,bitmanip_sign_extend_w6,"sign_extend<12,signed>(a)",[],false,false,not_applicable_without_splice,unknown,unknown,unbounded_no_legal_frontier,false,formally_verified_region,not_run_no_graph_active_candidate,not_applicable,rejected_before_boundary_validation,rejected,no_mapped_cut_leaves_for_in_place_rewrite,region_and_global_graft_required,formal_smt,semantic_graft_placement_v2
attempt_00002,equivalent_edge_substitution_spec,cegis_reconstructed_expression,bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6__identity__ground_truth_region__blind_cegis__0069,bitmanip_sign_extend_w6,"sign_extend<12,signed>(a)",[],false,false,not_applicable_without_splice,unknown,unknown,unbounded_no_legal_frontier,false,formally_verified_region,not_run_no_graph_active_candidate,not_applicable,rejected_before_boundary_validation,rejected,no_legal_equivalent_spec_fanout_edge,region_and_global_graft_required,formal_smt,semantic_graft_placement_v2
attempt_00003,coi_boundary_output_splice,cegis_reconstructed_expression,bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6__identity__ground_truth_region__blind_cegis__0069,bitmanip_sign_extend_w6,"sign_extend<12,signed>(a)",[],false,false,not_applicable_without_splice,unknown,unknown,unbounded_no_legal_frontier,false,formally_verified_region,not_run_no_graph_active_candidate,not_applicable,rejected_before_boundary_validation,rejected,semantic_target_outside_relevant_frontier,region_and_global_graft_required,formal_smt,semantic_graft_placement_v2
attempt_00004,extended_region_logic_graft,cegis_reconstructed_expression,bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6__identity__ground_truth_region__blind_cegis__0069,bitmanip_sign_extend_w6,"sign_extend<12,signed>(a)",[],false,false,not_applicable_without_splice,unknown,unknown,unbounded_no_legal_frontier,false,formally_verified_region,not_run_no_graph_active_candidate,not_applicable,rejected_before_boundary_validation,rejected,extension_would_require_unbounded_region_or_whole_design,region_and_global_graft_required,formal_smt,semantic_graft_placement_v2
attempt_00005,odc_contextual_graft,cegis_reconstructed_expression,bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6__identity__ground_truth_region__blind_cegis__0069,bitmanip_sign_extend_w6,"sign_extend<12,signed>(a)",[],false,false,not_applicable_without_splice,unknown,unknown,unbounded_no_legal_frontier,false,formally_verified_region,not_applicable_contextual_scope,not_run_no_contextual_frontier,rejected_before_boundary_validation,rejected,no_exact_observable_output_context_frontier,contextual_region,formal_smt,semantic_graft_placement_v2
attempt_00006,boundary_utility_aware_placement_search,cegis_reconstructed_expression,bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6__identity__ground_truth_region__blind_cegis__0069,bitmanip_sign_extend_w6,"sign_extend<12,signed>(a)",[],false,false,not_applicable_without_splice,unknown,unknown,unbounded_no_legal_frontier,false,formally_verified_region,not_run_no_graph_active_candidate,not_applicable,rejected_before_boundary_validation,rejected,no_candidate_removes_bypasses_under_bounds,region_and_global_graft_required,formal_smt,semantic_graft_placement_v2
attempt_00007,in_place_implementation_semantic_normalisation,cegis_reconstructed_expression,bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6__identity__whole_output_cone__blind_cegis__0069,bitmanip_sign_extend_w6,"sign_extend<12,signed>(a)",[],false,false,not_applicable_without_splice,unknown,unknown,unbounded_no_legal_frontier,false,formally_verified_region,not_run_no_graph_active_candidate,not_applicable,rejected_before_boundary_validation,rejected,no_mapped_cut_leaves_for_in_place_rewrite,region_and_global_graft_required,formal_smt,semantic_graft_placement_v2
attempt_00008,equivalent_edge_substitution_spec,cegis_reconstructed_expression,bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6__identity__whole_output_cone__blind_cegis__0069,bitmanip_sign_extend_w6,"sign_extend<12,signed>(a)",[],false,false,not_applicable_without_splice,unknown,unknown,unbounded_no_legal_frontier,false,formally_verified_region,not_run_no_graph_active_candidate,not_applicable,rejected_before_boundary_validation,rejected,no_legal_equivalent_spec_fanout_edge,region_and_global_graft_required,formal_smt,semantic_graft_placement_v2
attempt_00009,coi_boundary_output_splice,cegis_reconstructed_expression,bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6__identity__whole_output_cone__blind_cegis__0069,bitmanip_sign_extend_w6,"sign_extend<12,signed>(a)",[],false,false,not_applicable_without_splice,unknown,unknown,unbounded_no_legal_frontier,false,formally_verified_region,not_run_no_graph_active_candidate,not_applicable,rejected_before_boundary_validation,rejected,semantic_target_outside_relevant_frontier,region_and_global_graft_required,formal_smt,semantic_graft_placement_v2
attempt_00010,extended_region_logic_graft,cegis_reconstructed_expression,bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6__identity__whole_output_cone__blind_cegis__0069,bitmanip_sign_extend_w6,"sign_extend<12,signed>(a)",[],false,false,not_applicable_without_splice,unknown,unknown,unbounded_no_legal_frontier,false,formally_verified_region,not_run_no_graph_active_candidate,not_applicable,rejected_before_boundary_validation,rejected,extension_would_require_unbounded_region_or_whole_design,region_and_global_graft_required,formal_smt,semantic_graft_placement_v2
attempt_00011,odc_contextual_graft,cegis_reconstructed_expression,bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6__identity__whole_output_cone__blind_cegis__0069,bitmanip_sign_extend_w6,"sign_extend<12,signed>(a)",[],false,false,not_applicable_without_splice,unknown,unknown,unbounded_no_legal_frontier,false,formally_verified_region,not_applicable_contextual_scope,not_run_no_contextual_frontier,rejected_before_boundary_validation,rejected,no_exact_observable_output_context_frontier,contextual_region,formal_smt,semantic_graft_placement_v2
attempt_00012,boundary_utility_aware_placement_search,cegis_reconstructed_expression,bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6__identity__whole_output_cone__blind_cegis__0069,bitmanip_sign_extend_w6,"sign_extend<12,signed>(a)",[],false,false,not_applicable_without_splice,unknown,unknown,unbounded_no_legal_frontier,false,formally_verified_region,not_run_no_graph_active_candidate,not_applicable,rejected_before_boundary_validation,rejected,no_candidate_removes_bypasses_under_bounds,region_and_global_graft_required,formal_smt,semantic_graft_placement_v2
