target_id,region_id,selection_mode,boundary_utility_score,distance_to_failed_frontier,fanout_relevance,semantic_recoverability,expression_cost,proof_cost,cycle_risk,whole_design_expansion_risk,selected,schema_version
semantic_target_0001,bitmanip_sign_extend_w6__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.047286,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0002,bitmanip_sign_extend_w6__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.047918,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0003,bitmanip_sign_extend_w8__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.324489,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0004,bitmanip_sign_extend_w8__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.320481,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0005,bitmanip_zero_extend_w6__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.025154,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0006,bitmanip_zero_extend_w6__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.024956,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0007,bitmanip_zero_extend_w8__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.167397,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0008,bitmanip_zero_extend_w8__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.165052,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0009,arithmetic_affine_w2__balance__whole_output_cone,boundary_utility_aware,0.850000,unknown,0.000000,1.000000,3,0.001154,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0010,arithmetic_affine_w2__resyn__whole_output_cone,boundary_utility_aware,0.850000,unknown,0.000000,1.000000,3,0.000973,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0011,arithmetic_affine_w2__rewrite__whole_output_cone,boundary_utility_aware,0.850000,unknown,0.000000,1.000000,3,0.001126,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0012,arithmetic_constant_multiply_w2__compress2rs__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.002203,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0013,arithmetic_constant_multiply_w2__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.001386,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0014,arithmetic_constant_multiply_w2__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.001357,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0015,arithmetic_constant_multiply_w2__resyn2__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.002103,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0016,arithmetic_constant_multiply_w3__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.003092,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0017,arithmetic_constant_multiply_w3__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.003015,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0018,arithmetic_constant_multiply_w4__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.006051,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0019,arithmetic_constant_multiply_w4__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.005793,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0020,arithmetic_constant_multiply_w6__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.033137,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0021,arithmetic_constant_multiply_w6__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.032358,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0022,arithmetic_constant_multiply_w8__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.196840,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0023,arithmetic_constant_multiply_w8__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.198842,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0024,bitmanip_sign_extend_w6__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.047133,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0025,bitmanip_sign_extend_w6__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.047201,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0026,bitmanip_sign_extend_w8__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.321531,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0027,bitmanip_sign_extend_w8__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.320428,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0028,bitmanip_zero_extend_w6__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.025247,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0029,bitmanip_zero_extend_w6__identity__whole_output_cone,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.024910,unknown,unknown,true,semantic_graft_target_v1
semantic_target_0030,bitmanip_zero_extend_w8__identity__ground_truth_region,boundary_utility_aware,0.550000,unknown,0.000000,1.000000,9,0.167235,unknown,unknown,true,semantic_graft_target_v1
