trajectory_id,checkpoint_id,checkpoint_index,pass_name,cec_status,abc_output,runtime_s,unsupported_reason,schema_version
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,0,source,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_xor_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__mild_balance_rewrite/cp000_source.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.000000,,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,1,strash,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_xor_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__mild_balance_rewrite/cp001_strash_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.034574,,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1,2,balance,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_xor_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__mild_balance_rewrite/cp002_balance_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.033007,,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_xor_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__mild_balance_rewrite/cp003_rewrite_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.037499,,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,0,source,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_xor_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__rewrite_then_balance/cp000_source.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.000000,,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,1,strash,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_xor_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__rewrite_then_balance/cp001_strash_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.031567,,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1,2,rewrite,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_xor_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__rewrite_then_balance/cp002_rewrite_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.033104,,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1,3,balance,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_xor_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__rewrite_then_balance/cp003_balance_1.blif""
Networks are equivalent.  Time =     0.00 sec",0.034384,,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp000_source,0,source,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_xor_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__refactor_dc2/cp000_source.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.000000,,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,1,strash,equivalent,"======== ABC command line ""cec /Users/stefi/Desktop/research/eth/aig_optimization_experiments/benchmarks/semantic_recoverability_frontier/controlled_xor_factor.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__refactor_dc2/cp001_strash_1.blif""
Networks are equivalent after structural hashing.  Time =     0.00 sec",0.033136,,semantic_recoverability_frontier_v1
