trajectory_id,checkpoint_id,checkpoint_index,pass_name,blif_path,sha256,artifact_status,artifact_exists,parse_status,schema_version
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,0,source,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__mild_balance_rewrite/cp000_source.blif,dd8ce7f16c75f7c98dea7bdf02ff9740a88679c00e8cf2e68dd2745e75df83b4,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,1,strash,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__mild_balance_rewrite/cp001_strash_1.blif,b2957309bdca37f6e12f2108a0c8fda1ca35ac0e4985f04fd57aefd4f167f5f4,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1,2,balance,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__mild_balance_rewrite/cp002_balance_1.blif,b2957309bdca37f6e12f2108a0c8fda1ca35ac0e4985f04fd57aefd4f167f5f4,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__mild_balance_rewrite/cp003_rewrite_1.blif,49934cc35a82babc19b8d1267bc233dddde929afdda9bd50590843aecda381d8,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,0,source,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__rewrite_then_balance/cp000_source.blif,dd8ce7f16c75f7c98dea7bdf02ff9740a88679c00e8cf2e68dd2745e75df83b4,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,1,strash,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__rewrite_then_balance/cp001_strash_1.blif,d71c456341ee0f45eacd2caac58e06516f6b41a30e6f3e033405b5f213586dd4,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1,2,rewrite,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__rewrite_then_balance/cp002_rewrite_1.blif,0985484e80a57e5a26f99119a8a2aa4ca55ac15ca2916b33a87320d0f608bfab,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1,3,balance,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__rewrite_then_balance/cp003_balance_1.blif,9cfa3e032a3a13a204a29190d80766469f64c5509a7497d8a6c638925f474bb1,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp000_source,0,source,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__refactor_dc2/cp000_source.blif,dd8ce7f16c75f7c98dea7bdf02ff9740a88679c00e8cf2e68dd2745e75df83b4,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,1,strash,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__refactor_dc2/cp001_strash_1.blif,d71c456341ee0f45eacd2caac58e06516f6b41a30e6f3e033405b5f213586dd4,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1,2,refactor,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__refactor_dc2/cp002_refactor_1.blif,cae63cf0da09b0b1a8be3b0ca946ad16e1e58f1f2acd07d1d55ec67ae1a076f7,materialized,true,parse_valid,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1,3,dc2,results/semantic_recoverability_frontier/artifacts/checkpoints/controlled__controlled_xor_factor__refactor_dc2/cp003_dc2_1.blif,a797593335647db290501fa980dbf1b116c217cbad92e7349701ece39cd47b46,materialized,true,parse_valid,semantic_recoverability_frontier_v1
