trajectory_id,checkpoint_id,checkpoint_index,pass_name,node_count,edge_count,level_count,input_count,output_count,internal_fanout_sum,schema_version
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,0,source,2,7,2,3,1,1,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,1,strash,14,28,7,3,1,16,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1,2,balance,14,28,7,3,1,16,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,8,16,5,3,1,10,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,0,source,2,7,2,3,1,1,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,1,strash,14,28,7,3,1,16,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1,2,rewrite,8,16,5,3,1,10,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1,3,balance,6,12,4,3,1,6,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp000_source,0,source,2,7,2,3,1,1,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,1,strash,14,28,7,3,1,16,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1,2,refactor,9,18,4,3,1,8,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1,3,dc2,6,12,4,3,1,6,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp000_source,0,source,2,7,2,3,1,1,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,1,strash,9,18,6,3,1,10,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1,2,balance,9,18,6,3,1,10,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,6,12,4,3,1,7,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,0,source,2,7,2,3,1,1,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,1,strash,9,18,6,3,1,10,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1,2,rewrite,6,12,4,3,1,8,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp003_balance_1,3,balance,4,8,3,3,1,4,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp000_source,0,source,2,7,2,3,1,1,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,1,strash,9,18,6,3,1,10,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,2,refactor,5,10,3,3,1,4,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1,3,dc2,4,8,3,3,1,4,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp000_source,0,source,2,7,2,3,1,1,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp001_strash_1,1,strash,11,22,7,3,1,13,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp002_balance_1,2,balance,11,22,7,3,1,13,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,9,18,5,3,1,10,semantic_recoverability_frontier_v1
