counterexample_id,trajectory_id,checkpoint_id,boundary_id,residual_set,assignment_a,assignment_b,equal_divisor_and_residual,different_output,counterexample_reproduced,schema_version
controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1__controlled_xor_factor__b0__z0__0000,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1,controlled_xor_factor__b0,[],"{""r0"": 0, ""x0"": 0, ""x1"": 1}","{""r0"": 1, ""x0"": 1, ""x1"": 0}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1__controlled_xor_factor__b0__z1__0001,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1,controlled_xor_factor__b0,"[""x0""]","{""r0"": 1, ""x0"": 1, ""x1"": 0}","{""r0"": 0, ""x0"": 1, ""x1"": 0}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1__controlled_xor_factor__b0__z1__0002,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1,controlled_xor_factor__b0,"[""x1""]","{""r0"": 1, ""x0"": 1, ""x1"": 0}","{""r0"": 0, ""x0"": 1, ""x1"": 0}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1__controlled_xor_factor__b0__z0__0000,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1,controlled_xor_factor__b0,[],"{""r0"": 1, ""x0"": 1, ""x1"": 0}","{""r0"": 0, ""x0"": 0, ""x1"": 1}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1__controlled_xor_factor__b0__z1__0001,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1,controlled_xor_factor__b0,"[""x0""]","{""r0"": 0, ""x0"": 1, ""x1"": 0}","{""r0"": 1, ""x0"": 1, ""x1"": 0}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1__controlled_xor_factor__b0__z1__0002,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1,controlled_xor_factor__b0,"[""x1""]","{""r0"": 1, ""x0"": 0, ""x1"": 1}","{""r0"": 0, ""x0"": 0, ""x1"": 1}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1__controlled_and_factor__b0__z0__0000,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,controlled_and_factor__b0,[],"{""r0"": 1, ""x0"": 0, ""x1"": 0}","{""r0"": 0, ""x0"": 0, ""x1"": 0}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1__controlled_and_factor__b0__z1__0001,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,controlled_and_factor__b0,"[""x0""]","{""r0"": 1, ""x0"": 1, ""x1"": 1}","{""r0"": 0, ""x0"": 1, ""x1"": 1}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1__controlled_and_factor__b0__z1__0002,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,controlled_and_factor__b0,"[""x1""]","{""r0"": 1, ""x0"": 1, ""x1"": 1}","{""r0"": 0, ""x0"": 1, ""x1"": 1}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1__controlled_and_factor__b0__z0__0000,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1,controlled_and_factor__b0,[],"{""r0"": 1, ""x0"": 0, ""x1"": 0}","{""r0"": 0, ""x0"": 0, ""x1"": 0}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1__controlled_and_factor__b0__z1__0001,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1,controlled_and_factor__b0,"[""x0""]","{""r0"": 1, ""x0"": 1, ""x1"": 1}","{""r0"": 0, ""x0"": 1, ""x1"": 1}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1__controlled_and_factor__b0__z1__0002,controlled__controlled_and_factor__refactor_dc2,controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1,controlled_and_factor__b0,"[""x1""]","{""r0"": 0, ""x0"": 1, ""x1"": 1}","{""r0"": 1, ""x0"": 1, ""x1"": 1}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1__controlled_nonmonotonic_factor__b0__z0__0000,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_nonmonotonic_factor__b0,[],"{""r0"": 0, ""x0"": 1, ""x1"": 1}","{""r0"": 0, ""x0"": 0, ""x1"": 0}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1__controlled_nonmonotonic_factor__b0__z1__0001,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_nonmonotonic_factor__b0,"[""x0""]","{""r0"": 0, ""x0"": 1, ""x1"": 0}","{""r0"": 1, ""x0"": 1, ""x1"": 0}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1__controlled_nonmonotonic_factor__b0__z1__0002,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_nonmonotonic_factor__b0,"[""x1""]","{""r0"": 0, ""x0"": 1, ""x1"": 0}","{""r0"": 1, ""x0"": 1, ""x1"": 0}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1__controlled_nonmonotonic_factor__b0__z1__0003,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_nonmonotonic_factor__b0,"[""r0""]","{""r0"": 0, ""x0"": 0, ""x1"": 0}","{""r0"": 0, ""x0"": 1, ""x1"": 1}",true,true,true,semantic_recoverability_frontier_v1
controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1__controlled_nonmonotonic_factor__b0__z2__0004,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite,controlled__controlled_nonmonotonic_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_nonmonotonic_factor__b0,"[""x0"", ""x1""]","{""r0"": 1, ""x0"": 0, ""x1"": 1}","{""r0"": 0, ""x0"": 0, ""x1"": 1}",true,true,true,semantic_recoverability_frontier_v1
