result_id,boundary_id,trajectory_id,checkpoint_id,oracle_mode,formal_status,solver_result,counterexample_available,counterexample_reproduced,runtime_s,timeout,schema_version
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source__functional_decomposition__oracle_divisor,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,oracle_divisor,decomposable,unsat,false,true,0.003360,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source__functional_decomposition__oracle_divisor_support,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,oracle_divisor_support,decomposable,unsat,false,true,0.002282,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source__functional_decomposition__oracle_window,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,oracle_window,decomposable,unsat,false,true,0.001664,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__functional_decomposition__oracle_divisor,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,oracle_divisor,decomposable,unsat,false,true,0.001194,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__functional_decomposition__oracle_divisor_support,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,oracle_divisor_support,decomposable,unsat,false,true,0.001180,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__functional_decomposition__oracle_window,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,oracle_window,decomposable,unsat,false,true,0.001139,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__functional_decomposition__oracle_divisor,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1,oracle_divisor,decomposable,unsat,false,true,0.001139,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__functional_decomposition__oracle_divisor_support,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1,oracle_divisor_support,decomposable,unsat,false,true,0.001144,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__functional_decomposition__oracle_window,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1,oracle_window,decomposable,unsat,false,true,0.001147,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1__functional_decomposition__oracle_divisor,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1,oracle_divisor,decomposable,unsat,false,true,0.000830,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1__functional_decomposition__oracle_divisor_support,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1,oracle_divisor_support,decomposable,unsat,false,true,0.000775,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1__functional_decomposition__oracle_window,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1,oracle_window,decomposable,unsat,false,true,0.000775,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp000_source__functional_decomposition__oracle_divisor,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,oracle_divisor,decomposable,unsat,false,true,0.001291,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp000_source__functional_decomposition__oracle_divisor_support,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,oracle_divisor_support,decomposable,unsat,false,true,0.001667,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp000_source__functional_decomposition__oracle_window,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,oracle_window,decomposable,unsat,false,true,0.001573,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__functional_decomposition__oracle_divisor,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,oracle_divisor,decomposable,unsat,false,true,0.001146,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__functional_decomposition__oracle_divisor_support,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,oracle_divisor_support,decomposable,unsat,false,true,0.001131,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__functional_decomposition__oracle_window,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,oracle_window,decomposable,unsat,false,true,0.001132,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1__functional_decomposition__oracle_divisor,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1,oracle_divisor,decomposable,unsat,false,true,0.000775,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1__functional_decomposition__oracle_divisor_support,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1,oracle_divisor_support,decomposable,unsat,false,true,0.000772,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1__functional_decomposition__oracle_window,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1,oracle_window,decomposable,unsat,false,true,0.000778,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1__functional_decomposition__oracle_divisor,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1,oracle_divisor,decomposable,unsat,false,true,0.000673,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1__functional_decomposition__oracle_divisor_support,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1,oracle_divisor_support,decomposable,unsat,false,true,0.000670,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1__functional_decomposition__oracle_window,controlled_xor_factor__b0,controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1,oracle_window,decomposable,unsat,false,true,0.000669,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__refactor_dc2__cp000_source__functional_decomposition__oracle_divisor,controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp000_source,oracle_divisor,decomposable,unsat,false,true,0.001557,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__refactor_dc2__cp000_source__functional_decomposition__oracle_divisor_support,controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp000_source,oracle_divisor_support,decomposable,unsat,false,true,0.001600,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__refactor_dc2__cp000_source__functional_decomposition__oracle_window,controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp000_source,oracle_window,decomposable,unsat,false,true,0.001568,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1__functional_decomposition__oracle_divisor,controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,oracle_divisor,decomposable,unsat,false,true,0.001199,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1__functional_decomposition__oracle_divisor_support,controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,oracle_divisor_support,decomposable,unsat,false,true,0.001137,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1__functional_decomposition__oracle_window,controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,oracle_window,decomposable,unsat,false,true,0.001149,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1__functional_decomposition__oracle_divisor,controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1,oracle_divisor,decomposable,unsat,false,true,0.001538,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1__functional_decomposition__oracle_divisor_support,controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1,oracle_divisor_support,decomposable,unsat,false,true,0.001499,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1__functional_decomposition__oracle_window,controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1,oracle_window,decomposable,unsat,false,true,0.001485,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1__functional_decomposition__oracle_divisor,controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1,oracle_divisor,decomposable,unsat,false,true,0.001284,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1__functional_decomposition__oracle_divisor_support,controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1,oracle_divisor_support,decomposable,unsat,false,true,0.001250,false,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1__functional_decomposition__oracle_window,controlled_xor_factor__b0,controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1,oracle_window,decomposable,unsat,false,true,0.001280,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp000_source__functional_decomposition__oracle_divisor,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp000_source,oracle_divisor,decomposable,unsat,false,true,0.001392,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp000_source__functional_decomposition__oracle_divisor_support,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp000_source,oracle_divisor_support,decomposable,unsat,false,true,0.001317,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp000_source__functional_decomposition__oracle_window,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp000_source,oracle_window,decomposable,unsat,false,true,0.001316,false,semantic_recoverability_frontier_v1
controlled_and_factor__b0__controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1__functional_decomposition__oracle_divisor,controlled_and_factor__b0,controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,oracle_divisor,decomposable,unsat,false,true,0.000841,false,semantic_recoverability_frontier_v1
