benchmark_group,method,oracle_mode,failure_reason,count,schema_version
controlled,blind_functional_refactoring,blind,blind_divisor_not_discovered,36,semantic_recoverability_frontier_v1
controlled,blind_region_replacement,blind,blind_divisor_not_discovered,36,semantic_recoverability_frontier_v1
controlled,blind_semantic_cegis,blind,blind_divisor_not_discovered,36,semantic_recoverability_frontier_v1
controlled,functional_decomposition,oracle_divisor,exact_decomposition_disproved_for_selected_g_z_window,4,semantic_recoverability_frontier_v1
controlled,functional_decomposition,oracle_divisor,only_non_local_decomposition_established,13,semantic_recoverability_frontier_v1
controlled,functional_decomposition,oracle_divisor_support,exact_decomposition_disproved_for_selected_g_z_window,4,semantic_recoverability_frontier_v1
controlled,functional_decomposition,oracle_divisor_support,only_non_local_decomposition_established,13,semantic_recoverability_frontier_v1
controlled,functional_decomposition,oracle_window,exact_decomposition_disproved_for_selected_g_z_window,4,semantic_recoverability_frontier_v1
controlled,functional_decomposition,oracle_window,only_non_local_decomposition_established,13,semantic_recoverability_frontier_v1
controlled,functional_survival,blind,no_formally_equivalent_internal_signal_under_exhaustive_small_check,18,semantic_recoverability_frontier_v1
controlled,structural,blind,no_exact_or_complemented_internal_survivor,27,semantic_recoverability_frontier_v1
development,blind_functional_refactoring,blind,blind_divisor_not_discovered,12,semantic_recoverability_frontier_v1
development,blind_region_replacement,blind,blind_divisor_not_discovered,12,semantic_recoverability_frontier_v1
development,blind_semantic_cegis,blind,blind_divisor_not_discovered,12,semantic_recoverability_frontier_v1
development,functional_decomposition,oracle_divisor,only_non_local_decomposition_established,8,semantic_recoverability_frontier_v1
development,functional_decomposition,oracle_divisor_support,only_non_local_decomposition_established,8,semantic_recoverability_frontier_v1
development,functional_decomposition,oracle_window,only_non_local_decomposition_established,8,semantic_recoverability_frontier_v1
development,functional_survival,blind,no_formally_equivalent_internal_signal_under_exhaustive_small_check,8,semantic_recoverability_frontier_v1
heldout,blind_functional_refactoring,blind,blind_divisor_not_discovered,12,semantic_recoverability_frontier_v1
heldout,blind_region_replacement,blind,blind_divisor_not_discovered,12,semantic_recoverability_frontier_v1
heldout,blind_semantic_cegis,blind,blind_divisor_not_discovered,12,semantic_recoverability_frontier_v1
heldout,functional_decomposition,oracle_divisor,only_non_local_decomposition_established,8,semantic_recoverability_frontier_v1
heldout,functional_decomposition,oracle_divisor_support,only_non_local_decomposition_established,8,semantic_recoverability_frontier_v1
heldout,functional_decomposition,oracle_window,only_non_local_decomposition_established,8,semantic_recoverability_frontier_v1
heldout,functional_survival,blind,no_formally_equivalent_internal_signal_under_exhaustive_small_check,8,semantic_recoverability_frontier_v1
