row_id,oracle_mode,forbidden_fields_present,leakage_status,schema_version
controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source__node_0000,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source__node_0001,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__node_0000,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__node_0001,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__node_0002,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__node_0003,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__node_0004,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__node_0005,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__node_0006,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__node_0007,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__node_0008,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__node_0009,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__node_0010,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__node_0011,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__node_0012,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__node_0013,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__node_0000,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__node_0001,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__node_0002,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__node_0003,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__node_0004,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__node_0005,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__node_0006,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__node_0007,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__node_0008,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__node_0009,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__node_0010,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__node_0011,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__node_0012,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1__node_0013,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1__node_0000,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1__node_0001,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1__node_0002,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1__node_0003,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1__node_0004,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1__node_0005,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1__node_0006,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1__node_0007,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp000_source__node_0000,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp000_source__node_0001,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__node_0000,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__node_0001,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__node_0002,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__node_0003,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__node_0004,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__node_0005,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__node_0006,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__node_0007,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__node_0008,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__node_0009,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__node_0010,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__node_0011,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__node_0012,blind,[],pass,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1__node_0013,blind,[],pass,semantic_recoverability_frontier_v1
