trajectory_id,checkpoint_id,checkpoint_index,pass_name,node_count,depth,node_reduction_vs_source,depth_delta_vs_source,recoverable_boundary_fraction,oracle_recoverable_fraction,schema_version
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,0,source,2,2,0,0,0.400000,1.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,1,strash,14,7,-12,5,0.000000,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1,2,balance,14,7,-12,5,0.000000,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,8,5,-6,3,0.000000,1.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,0,source,2,2,0,0,0.400000,1.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,1,strash,14,7,-12,5,0.000000,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1,2,rewrite,8,5,-6,3,0.000000,1.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1,3,balance,6,4,-4,2,0.000000,1.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp000_source,0,source,2,2,0,0,0.400000,1.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,1,strash,14,7,-12,5,0.000000,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1,2,refactor,9,4,-7,2,0.000000,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1,3,dc2,6,4,-4,2,0.000000,1.000000,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp000_source,0,source,2,2,0,0,0.400000,1.000000,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,1,strash,9,6,-7,4,0.200000,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1,2,balance,9,6,-7,4,0.200000,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1,3,rewrite,6,4,-4,2,0.200000,1.000000,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,0,source,2,2,0,0,0.400000,1.000000,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,1,strash,9,6,-7,4,0.200000,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1,2,rewrite,6,4,-4,2,0.200000,1.000000,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled__controlled_and_factor__rewrite_then_balance__cp003_balance_1,3,balance,4,3,-2,1,0.200000,1.000000,semantic_recoverability_frontier_v1
