trajectory_id,boundary_id,method,pass_name,checkpoint_before,checkpoint_after,recovery_before,recovery_after,transition_class,node_delta,depth_delta,causal_claim,schema_version
controlled__controlled_and_factor__mild_balance_rewrite,controlled_and_factor__b0,blind_functional_refactoring,strash,controlled__controlled_and_factor__mild_balance_rewrite__cp000_source,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,false,false,unchanged,7,4,not_claimed_controlled_ablation_required,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled_and_factor__b0,blind_functional_refactoring,strash,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,false,false,unchanged,7,4,not_claimed_controlled_ablation_required,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled_and_factor__b0,blind_functional_refactoring,strash,controlled__controlled_and_factor__refactor_dc2__cp000_source,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,false,false,unchanged,7,4,not_claimed_controlled_ablation_required,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled_and_factor__b0,blind_functional_refactoring,balance,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1,false,false,unchanged,0,0,not_claimed_controlled_ablation_required,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled_and_factor__b0,blind_functional_refactoring,rewrite,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1,false,false,unchanged,-3,-2,not_claimed_controlled_ablation_required,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled_and_factor__b0,blind_functional_refactoring,refactor,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,false,false,unchanged,-4,-3,not_claimed_controlled_ablation_required,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled_and_factor__b0,blind_functional_refactoring,rewrite,controlled__controlled_and_factor__mild_balance_rewrite__cp002_balance_1,controlled__controlled_and_factor__mild_balance_rewrite__cp003_rewrite_1,false,false,unchanged,-3,-2,not_claimed_controlled_ablation_required,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled_and_factor__b0,blind_functional_refactoring,balance,controlled__controlled_and_factor__rewrite_then_balance__cp002_rewrite_1,controlled__controlled_and_factor__rewrite_then_balance__cp003_balance_1,false,false,unchanged,-2,-1,not_claimed_controlled_ablation_required,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled_and_factor__b0,blind_functional_refactoring,dc2,controlled__controlled_and_factor__refactor_dc2__cp002_refactor_1,controlled__controlled_and_factor__refactor_dc2__cp003_dc2_1,false,false,unchanged,-1,0,not_claimed_controlled_ablation_required,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__mild_balance_rewrite,controlled_and_factor__b0,blind_region_replacement,strash,controlled__controlled_and_factor__mild_balance_rewrite__cp000_source,controlled__controlled_and_factor__mild_balance_rewrite__cp001_strash_1,false,false,unchanged,7,4,not_claimed_controlled_ablation_required,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__rewrite_then_balance,controlled_and_factor__b0,blind_region_replacement,strash,controlled__controlled_and_factor__rewrite_then_balance__cp000_source,controlled__controlled_and_factor__rewrite_then_balance__cp001_strash_1,false,false,unchanged,7,4,not_claimed_controlled_ablation_required,semantic_recoverability_frontier_v1
controlled__controlled_and_factor__refactor_dc2,controlled_and_factor__b0,blind_region_replacement,strash,controlled__controlled_and_factor__refactor_dc2__cp000_source,controlled__controlled_and_factor__refactor_dc2__cp001_strash_1,false,false,unchanged,7,4,not_claimed_controlled_ablation_required,semantic_recoverability_frontier_v1
