trajectory_id,checkpoint_id,boundary_id,minimum_status,residual_lower_bound,residual_upper_bound,best_residual_set,schema_version
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,controlled_xor_factor__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,controlled_xor_factor__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1,controlled_xor_factor__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_xor_factor__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,controlled_xor_factor__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,controlled_xor_factor__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1,controlled_xor_factor__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1,controlled_xor_factor__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp000_source,controlled_xor_factor__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,controlled_xor_factor__b0,exact_minimum,0,0,[],semantic_recoverability_frontier_v1
