trajectory_id,checkpoint_id,boundary_id,residual_set,residual_width,search_status,solver_result,minimum_status,residual_lower_bound,residual_upper_bound,runtime_s,timeout,schema_version
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,controlled_xor_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001505,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,controlled_xor_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001061,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1,controlled_xor_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001062,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_xor_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000708,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp000_source,controlled_xor_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001166,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp001_strash_1,controlled_xor_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001071,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp002_rewrite_1,controlled_xor_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000707,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__rewrite_then_balance,controlled__controlled_xor_factor__rewrite_then_balance__cp003_balance_1,controlled_xor_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.000608,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp000_source,controlled_xor_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001487,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp001_strash_1,controlled_xor_factor__b0,[],0,decomposable,unsat,exact_minimum,0,0,0.001075,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1,controlled_xor_factor__b0,[],0,non_decomposable,sat,excluded_or_nonminimum,0,,0.001409,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1,controlled_xor_factor__b0,"[""x0""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001443,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1,controlled_xor_factor__b0,"[""x1""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001360,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp002_refactor_1,controlled_xor_factor__b0,"[""r0""]",1,decomposable,unsat,exact_minimum,1,1,0.001406,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1,controlled_xor_factor__b0,[],0,non_decomposable,sat,excluded_or_nonminimum,0,,0.001253,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1,controlled_xor_factor__b0,"[""x0""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001189,false,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__refactor_dc2,controlled__controlled_xor_factor__refactor_dc2__cp003_dc2_1,controlled_xor_factor__b0,"[""x1""]",1,non_decomposable,sat,excluded_or_nonminimum,1,,0.001199,false,semantic_recoverability_frontier_v1
