trajectory_id,checkpoint_id,boundary_id,window_level,window_nodes,window_inputs,window_outputs,residual_width,decomposition_status,graph_rewrite_feasibility,global_cec_status,classification,runtime_s,schema_version
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,controlled_xor_factor__b0,immediate_consumer,2,3,1,3,decomposable,not_attempted_frontier_diagnostic,equivalent,exact_local_window,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,controlled_xor_factor__b0,bounded_fanout_cone,2,3,1,3,decomposable,not_attempted_frontier_diagnostic,equivalent,exact_local_window,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,controlled_xor_factor__b0,whole_design_output_frontier,2,3,1,3,decomposable,not_attempted_frontier_diagnostic,equivalent,whole_design_diagnostic_not_local_success,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,controlled_xor_factor__b0,immediate_consumer,14,3,1,3,unresolved,not_attempted_frontier_diagnostic,equivalent,no_result_within_bounds,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,controlled_xor_factor__b0,bounded_fanout_cone,14,3,1,3,unresolved,not_attempted_frontier_diagnostic,equivalent,no_result_within_bounds,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,controlled_xor_factor__b0,whole_design_output_frontier,14,3,1,3,unresolved,not_attempted_frontier_diagnostic,equivalent,whole_design_diagnostic_not_local_success,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1,controlled_xor_factor__b0,immediate_consumer,14,3,1,3,unresolved,not_attempted_frontier_diagnostic,equivalent,no_result_within_bounds,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1,controlled_xor_factor__b0,bounded_fanout_cone,14,3,1,3,unresolved,not_attempted_frontier_diagnostic,equivalent,no_result_within_bounds,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp002_balance_1,controlled_xor_factor__b0,whole_design_output_frontier,14,3,1,3,unresolved,not_attempted_frontier_diagnostic,equivalent,whole_design_diagnostic_not_local_success,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_xor_factor__b0,immediate_consumer,8,3,1,3,decomposable,not_attempted_frontier_diagnostic,equivalent,exact_local_window,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_xor_factor__b0,bounded_fanout_cone,8,3,1,3,decomposable,not_attempted_frontier_diagnostic,equivalent,exact_local_window,0.000000,semantic_recoverability_frontier_v1
controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp003_rewrite_1,controlled_xor_factor__b0,whole_design_output_frontier,8,3,1,3,decomposable,not_attempted_frontier_diagnostic,equivalent,whole_design_diagnostic_not_local_success,0.000000,semantic_recoverability_frontier_v1
