case_id,bus_name,direction,width,signedness,declared_msb,declared_lsb,bit_order,member_signal_names,member_canonical_node_ids,role,mode
arithmetic_add_add_w2,a,input,2,unsigned,1,0,lsb_to_msb,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",data_operand,ground_truth_bus_mode
arithmetic_add_add_w2,b,input,2,unsigned,1,0,lsb_to_msb,"[""b_0"",""b_1""]","[""b_0"",""b_1""]",data_operand,ground_truth_bus_mode
arithmetic_add_add_w2,c,input,2,unsigned,1,0,lsb_to_msb,"[""c_0"",""c_1""]","[""c_0"",""c_1""]",data_operand,ground_truth_bus_mode
arithmetic_add_add_w2,y,output,4,unsigned,3,0,lsb_to_msb,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",output,ground_truth_bus_mode
arithmetic_affine_w2,a,input,2,unsigned,1,0,lsb_to_msb,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",data_operand,ground_truth_bus_mode
arithmetic_affine_w2,y,output,5,unsigned,4,0,lsb_to_msb,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",output,ground_truth_bus_mode
arithmetic_affine_w3,a,input,3,unsigned,2,0,lsb_to_msb,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",data_operand,ground_truth_bus_mode
arithmetic_affine_w3,y,output,6,unsigned,5,0,lsb_to_msb,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]",output,ground_truth_bus_mode
arithmetic_affine_w4,a,input,4,unsigned,3,0,lsb_to_msb,"[""a_0"",""a_1"",""a_2"",""a_3""]","[""a_0"",""a_1"",""a_2"",""a_3""]",data_operand,ground_truth_bus_mode
arithmetic_affine_w4,y,output,7,unsigned,6,0,lsb_to_msb,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6""]",output,ground_truth_bus_mode
arithmetic_affine_w6,a,input,6,unsigned,5,0,lsb_to_msb,"[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5""]","[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5""]",data_operand,ground_truth_bus_mode
arithmetic_affine_w6,y,output,9,unsigned,8,0,lsb_to_msb,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8""]",output,ground_truth_bus_mode
arithmetic_affine_w8,a,input,8,unsigned,7,0,lsb_to_msb,"[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5"",""a_6"",""a_7""]","[""a_0"",""a_1"",""a_2"",""a_3"",""a_4"",""a_5"",""a_6"",""a_7""]",data_operand,ground_truth_bus_mode
