candidate_id,region_id,candidate_ranking_mode,rank_after_simulation,ranking_score,simulation_status,sample_match_rate,grammar_family,expression_depth,rtl_cost
arithmetic_add_add_w2__identity__ground_truth_region__cand_0001,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,1,0.966667,simulation_mismatch,0.966667,arithmetic_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0002,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,2,0.966667,simulation_mismatch,0.966667,arithmetic_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0018,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,3,0.966667,simulation_mismatch,0.966667,arithmetic_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0019,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,4,0.966667,simulation_mismatch,0.966667,arithmetic_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0025,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,5,0.966667,simulation_mismatch,0.966667,bitmanip_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0026,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,6,0.966667,simulation_mismatch,0.966667,bitmanip_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0027,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,7,0.966667,simulation_mismatch,0.966667,bitmanip_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0028,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,8,0.966667,simulation_mismatch,0.966667,bitmanip_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0029,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,9,0.966667,simulation_mismatch,0.966667,bitmanip_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0030,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,10,0.966667,simulation_mismatch,0.966667,bitmanip_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0031,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,11,0.966667,simulation_mismatch,0.966667,bitmanip_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0032,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,12,0.966667,simulation_mismatch,0.966667,bitmanip_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0033,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,13,0.966667,simulation_mismatch,0.966667,bitmanip_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0034,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,14,0.966667,simulation_mismatch,0.966667,bitmanip_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0035,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,15,0.966667,simulation_mismatch,0.966667,boolean_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0036,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,16,0.966667,simulation_mismatch,0.966667,boolean_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0037,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,17,0.966667,simulation_mismatch,0.966667,boolean_direct,1,2
arithmetic_add_add_w2__identity__ground_truth_region__cand_0003,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,18,0.966667,simulation_mismatch,0.966667,arithmetic_direct,1,3
arithmetic_add_add_w2__identity__ground_truth_region__cand_0004,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,19,0.966667,simulation_mismatch,0.966667,arithmetic_direct,1,3
arithmetic_add_add_w2__identity__ground_truth_region__cand_0005,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,20,0.966667,simulation_mismatch,0.966667,arithmetic_direct,1,3
arithmetic_add_add_w2__identity__ground_truth_region__cand_0006,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,21,0.966667,simulation_mismatch,0.966667,arithmetic_direct,1,3
arithmetic_add_add_w2__identity__ground_truth_region__cand_0007,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,22,0.966667,simulation_mismatch,0.966667,arithmetic_direct,1,3
arithmetic_add_add_w2__identity__ground_truth_region__cand_0008,arithmetic_add_add_w2__identity__ground_truth_region,hybrid,23,0.966667,simulation_mismatch,0.966667,arithmetic_direct,1,3
