region_id,case_id,optimization,source_type,input_count,output_count,structural_coverage,simulation_coverage,boolean_difference_coverage,formal_dependency_coverage,dependency_density,row_density_mean,column_density_mean,lower_triangularity,upper_triangularity,diagonal_concentration,bandwidth,minimum_dependency_slope,maximum_dependency_slope,carry_progression_score,multiplier_diagonal_score,operand_symmetry_score,output_prefix_dependency_score,selectivity_change_score,single_output_control_score,high_bit_priority_score,locality_score,regularity_score,simulation_evidence_level,boolean_difference_evidence_level,pattern_count,seed,runtime_seconds,schema_version
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,6,4,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.416667,0.750000,0.166667,1.000000,0.000000,3.000000,0.208333,0.833333,1.000000,0.416667,0.000000,0.000000,1.000000,0.000000,1.000000,sampled_estimate,formal_exhaustive,128,41,0.011061,semantic_dependency_v1
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,6,4,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.416667,0.750000,0.166667,1.000000,0.000000,3.000000,0.208333,0.833333,1.000000,0.416667,0.000000,0.000000,1.000000,0.000000,1.000000,sampled_estimate,formal_exhaustive,128,41,0.011058,semantic_dependency_v1
arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,whole_output_cone,2,5,1.000000,1.000000,1.000000,0.000000,0.800000,0.800000,0.800000,0.875000,0.625000,0.500000,0.250000,0.000000,3.000000,0.765625,0.400000,1.000000,0.875000,1.000000,0.000000,0.666667,0.750000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.000953,semantic_dependency_v1
arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,whole_output_cone,2,5,1.000000,1.000000,1.000000,0.000000,0.600000,0.600000,0.600000,1.000000,0.666667,0.666667,0.250000,1.000000,3.000000,0.875000,0.200000,1.000000,1.000000,1.000000,0.000000,0.666667,0.750000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.000748,semantic_dependency_v1
arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,whole_output_cone,2,5,1.000000,1.000000,1.000000,0.000000,0.600000,0.600000,0.600000,1.000000,0.666667,0.666667,0.250000,1.000000,3.000000,0.875000,0.200000,1.000000,1.000000,1.000000,0.000000,0.666667,0.750000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.000716,semantic_dependency_v1
arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,ground_truth_region,2,5,1.000000,1.000000,1.000000,0.000000,0.800000,0.800000,0.800000,0.875000,0.625000,0.500000,0.250000,0.000000,3.000000,0.765625,0.400000,1.000000,0.875000,1.000000,0.000000,0.666667,0.750000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.000706,semantic_dependency_v1
arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,whole_output_cone,2,5,1.000000,1.000000,1.000000,0.000000,0.800000,0.800000,0.800000,0.875000,0.625000,0.500000,0.250000,0.000000,3.000000,0.765625,0.400000,1.000000,0.875000,1.000000,0.000000,0.666667,0.750000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.000691,semantic_dependency_v1
arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,refactor,whole_output_cone,2,5,1.000000,1.000000,1.000000,0.000000,0.600000,0.600000,0.600000,1.000000,0.666667,0.666667,0.250000,1.000000,3.000000,0.875000,0.200000,1.000000,1.000000,1.000000,0.000000,0.666667,0.750000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.000639,semantic_dependency_v1
arithmetic_affine_w2__resub__whole_output_cone,arithmetic_affine_w2,resub,whole_output_cone,2,5,1.000000,1.000000,1.000000,0.000000,0.600000,0.600000,0.600000,1.000000,0.666667,0.666667,0.250000,1.000000,3.000000,0.875000,0.200000,1.000000,1.000000,1.000000,0.000000,0.666667,0.750000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.000716,semantic_dependency_v1
arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,resyn,whole_output_cone,2,5,1.000000,1.000000,1.000000,0.000000,0.800000,0.800000,0.800000,0.875000,0.625000,0.500000,0.250000,0.000000,3.000000,0.765625,0.400000,1.000000,0.875000,1.000000,0.000000,0.666667,0.750000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.000840,semantic_dependency_v1
arithmetic_affine_w2__resyn2__whole_output_cone,arithmetic_affine_w2,resyn2,whole_output_cone,2,5,1.000000,1.000000,1.000000,0.000000,0.600000,0.600000,0.600000,1.000000,0.666667,0.666667,0.250000,1.000000,3.000000,0.875000,0.200000,1.000000,1.000000,1.000000,0.000000,0.666667,0.750000,0.000000,sampled_estimate,formal_exhaustive,128,41,0.000716,semantic_dependency_v1
