scope,group,rows,top_1_family_accuracy,top_3_family_accuracy,mrr
overall,all,686,0.246356,0.571429,0.460461
family,arithmetic,176,0.261364,0.784091,0.509659
family,bitmanip,252,0.063492,0.531746,0.341138
family,boolean,138,0.000000,0.000000,0.195963
family,comparison,104,0.951923,1.000000,0.975962
family,control,16,0.500000,1.000000,0.729167
operator,add_add,2,0.000000,0.000000,0.200000
operator,affine,34,0.000000,1.000000,0.465686
operator,arithmetic_select,4,1.000000,1.000000,1.000000
operator,bilinear,2,0.000000,0.000000,0.200000
operator,bitwise_and,14,0.000000,0.000000,0.204082
operator,bitwise_or,14,0.000000,0.000000,0.204082
operator,bitwise_xnor,14,0.000000,0.000000,0.204082
operator,bitwise_xor,14,0.000000,0.000000,0.204082
operator,concat,14,0.571429,0.571429,0.642857
operator,constant_multiply,34,0.235294,1.000000,0.514706
operator,eq,14,1.000000,1.000000,1.000000
operator,full_multiply,14,1.000000,1.000000,1.000000
operator,mask_low,34,0.000000,0.617647,0.324510
operator,masked_and,24,0.000000,0.000000,0.182937
operator,masked_xor,24,0.000000,0.000000,0.182937
operator,mixed_width_add,4,0.000000,0.000000,0.200000
operator,multiply_accumulate,2,1.000000,1.000000,1.000000
operator,mux2,4,1.000000,1.000000,1.000000
operator,neq,14,1.000000,1.000000,1.000000
operator,nested_mux,2,0.000000,1.000000,0.500000
operator,one_hot_mux,4,0.000000,1.000000,0.416667
operator,parity,34,0.000000,0.000000,0.200980
operator,priority_mux,2,0.000000,1.000000,0.500000
operator,range_check,34,0.852941,1.000000,0.926471
operator,reversed_sub,14,0.000000,0.571429,0.276190
operator,rotate_left,34,0.000000,0.235294,0.232843
operator,shift_left,34,0.000000,0.617647,0.352941
operator,shift_right,34,0.000000,0.617647,0.274510
operator,shifted_add,14,0.571429,0.571429,0.664286
operator,sign_extend,34,0.235294,0.617647,0.473529
operator,signed_add,14,0.000000,0.571429,0.276190
operator,signed_lt,14,1.000000,1.000000,1.000000
operator,slice_low,34,0.000000,0.235294,0.242647
operator,sub,14,0.000000,0.571429,0.276190
operator,truncated_multiply,14,1.000000,1.000000,1.000000
operator,unsigned_add,14,0.000000,0.571429,0.276190
operator,unsigned_le,14,1.000000,1.000000,1.000000
operator,unsigned_lt,14,1.000000,1.000000,1.000000
operator,zero_extend,34,0.000000,0.764706,0.362745
optimization,balance,54,0.240741,0.648148,0.475794
optimization,compress2rs,54,0.222222,0.722222,0.479938
optimization,dc2,54,0.222222,0.722222,0.479938
optimization,identity,254,0.275591,0.362205,0.429978
optimization,refactor,54,0.222222,0.722222,0.479938
optimization,resub,54,0.222222,0.722222,0.479938
optimization,resyn,54,0.240741,0.648148,0.475794
optimization,resyn2,54,0.222222,0.722222,0.479938
optimization,rewrite,54,0.240741,0.648148,0.475794
source_type,ground_truth_region,127,0.275591,0.362205,0.429978
source_type,whole_output_cone,559,0.239714,0.618962,0.467386
