region_id,case_id,optimization,source_type,all_declared_input_bits_found,missing_declared_input_bits,extra_scalar_inputs,input_bit_order_match,input_bus_membership_match,all_declared_output_bits_found,missing_declared_output_bits,extra_scalar_outputs,output_bit_order_match,output_driver_alignment,input_bit_recall,input_bit_precision,output_bit_recall,output_bit_precision,input_order_accuracy,output_order_accuracy,exact_scalar_interface_match
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,ground_truth_region,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,refactor,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w2__resub__whole_output_cone,arithmetic_affine_w2,resub,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
arithmetic_affine_w2__resyn2__whole_output_cone,arithmetic_affine_w2,resyn2,whole_output_cone,true,[],[],true,true,true,[],[],true,true,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true
