region_id,case_id,optimization,source_type,status,skip_reason
arithmetic_add_add_w12__balance__ground_truth_region,arithmetic_add_add_w12,balance,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w12__balance__whole_output_cone,arithmetic_add_add_w12,balance,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w12__compress2rs__ground_truth_region,arithmetic_add_add_w12,compress2rs,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w12__compress2rs__whole_output_cone,arithmetic_add_add_w12,compress2rs,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w12__dc2__ground_truth_region,arithmetic_add_add_w12,dc2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w12__dc2__whole_output_cone,arithmetic_add_add_w12,dc2,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w12__identity__ground_truth_region,arithmetic_add_add_w12,identity,ground_truth_region,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w12__identity__whole_output_cone,arithmetic_add_add_w12,identity,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w12__refactor__ground_truth_region,arithmetic_add_add_w12,refactor,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w12__refactor__whole_output_cone,arithmetic_add_add_w12,refactor,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w12__resub__ground_truth_region,arithmetic_add_add_w12,resub,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w12__resub__whole_output_cone,arithmetic_add_add_w12,resub,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w12__resyn__ground_truth_region,arithmetic_add_add_w12,resyn,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w12__resyn__whole_output_cone,arithmetic_add_add_w12,resyn,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w12__resyn2__ground_truth_region,arithmetic_add_add_w12,resyn2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w12__resyn2__whole_output_cone,arithmetic_add_add_w12,resyn2,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w12__rewrite__ground_truth_region,arithmetic_add_add_w12,rewrite,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w12__rewrite__whole_output_cone,arithmetic_add_add_w12,rewrite,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w16__balance__ground_truth_region,arithmetic_add_add_w16,balance,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w16__balance__whole_output_cone,arithmetic_add_add_w16,balance,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w16__compress2rs__ground_truth_region,arithmetic_add_add_w16,compress2rs,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w16__compress2rs__whole_output_cone,arithmetic_add_add_w16,compress2rs,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w16__dc2__ground_truth_region,arithmetic_add_add_w16,dc2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w16__dc2__whole_output_cone,arithmetic_add_add_w16,dc2,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w16__identity__ground_truth_region,arithmetic_add_add_w16,identity,ground_truth_region,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w16__identity__whole_output_cone,arithmetic_add_add_w16,identity,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w16__refactor__ground_truth_region,arithmetic_add_add_w16,refactor,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w16__refactor__whole_output_cone,arithmetic_add_add_w16,refactor,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w16__resub__ground_truth_region,arithmetic_add_add_w16,resub,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w16__resub__whole_output_cone,arithmetic_add_add_w16,resub,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w16__resyn__ground_truth_region,arithmetic_add_add_w16,resyn,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w16__resyn__whole_output_cone,arithmetic_add_add_w16,resyn,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w16__resyn2__ground_truth_region,arithmetic_add_add_w16,resyn2,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w16__resyn2__whole_output_cone,arithmetic_add_add_w16,resyn2,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w16__rewrite__ground_truth_region,arithmetic_add_add_w16,rewrite,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w16__rewrite__whole_output_cone,arithmetic_add_add_w16,rewrite,whole_output_cone,unsupported_case,truth_table_blif_intentionally_skipped
arithmetic_add_add_w2__balance__ground_truth_region,arithmetic_add_add_w2,balance,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w2__balance__whole_output_cone,arithmetic_add_add_w2,balance,whole_output_cone,unsupported_case,abc_variant_generation_bounded
arithmetic_add_add_w2__compress2rs__ground_truth_region,arithmetic_add_add_w2,compress2rs,ground_truth_region,unsupported_case,ground_truth_region_not_available_for_optimized_variant
arithmetic_add_add_w2__compress2rs__whole_output_cone,arithmetic_add_add_w2,compress2rs,whole_output_cone,unsupported_case,abc_variant_generation_bounded
