case_id,optimization,ground_truth_region_nodes,output_cone_region_nodes,region_node_delta,region_overlap,jaccard_similarity,boundary_input_delta,boundary_output_delta,whole_output_cone_extra_nodes,whole_output_cone_missing_nodes,same_scalar_interface,same_observable_outputs
arithmetic_add_add_w2,identity,4,4,0,4,1.000000,0,0,[],[],true,true
arithmetic_affine_w2,identity,5,5,0,5,1.000000,0,0,[],[],true,true
arithmetic_affine_w3,identity,6,6,0,6,1.000000,0,0,[],[],true,true
arithmetic_affine_w4,identity,7,7,0,7,1.000000,0,0,[],[],true,true
arithmetic_affine_w6,identity,9,9,0,9,1.000000,0,0,[],[],true,true
arithmetic_affine_w8,identity,11,11,0,11,1.000000,0,0,[],[],true,true
arithmetic_bilinear_w2,identity,5,5,0,5,1.000000,0,0,[],[],true,true
arithmetic_constant_multiply_w2,identity,4,4,0,4,1.000000,0,0,[],[],true,true
arithmetic_constant_multiply_w3,identity,5,5,0,5,1.000000,0,0,[],[],true,true
arithmetic_constant_multiply_w4,identity,6,6,0,6,1.000000,0,0,[],[],true,true
arithmetic_constant_multiply_w6,identity,8,8,0,8,1.000000,0,0,[],[],true,true
arithmetic_constant_multiply_w8,identity,10,10,0,10,1.000000,0,0,[],[],true,true
arithmetic_full_multiply_w2,identity,4,4,0,4,1.000000,0,0,[],[],true,true
arithmetic_full_multiply_w3,identity,6,6,0,6,1.000000,0,0,[],[],true,true
arithmetic_full_multiply_w4,identity,8,8,0,8,1.000000,0,0,[],[],true,true
arithmetic_mixed_width_add_w3,identity,4,4,0,4,1.000000,0,0,[],[],true,true
arithmetic_mixed_width_add_w4,identity,5,5,0,5,1.000000,0,0,[],[],true,true
arithmetic_multiply_accumulate_w2,identity,5,5,0,5,1.000000,0,0,[],[],true,true
arithmetic_reversed_sub_w2,identity,3,3,0,3,1.000000,0,0,[],[],true,true
arithmetic_reversed_sub_w3,identity,4,4,0,4,1.000000,0,0,[],[],true,true
arithmetic_reversed_sub_w4,identity,5,5,0,5,1.000000,0,0,[],[],true,true
arithmetic_shifted_add_w2,identity,4,4,0,4,1.000000,0,0,[],[],true,true
arithmetic_shifted_add_w3,identity,5,5,0,5,1.000000,0,0,[],[],true,true
arithmetic_shifted_add_w4,identity,6,6,0,6,1.000000,0,0,[],[],true,true
arithmetic_signed_add_w2,identity,3,3,0,3,1.000000,0,0,[],[],true,true
arithmetic_signed_add_w3,identity,4,4,0,4,1.000000,0,0,[],[],true,true
arithmetic_signed_add_w4,identity,5,5,0,5,1.000000,0,0,[],[],true,true
arithmetic_sub_w2,identity,3,3,0,3,1.000000,0,0,[],[],true,true
arithmetic_sub_w3,identity,4,4,0,4,1.000000,0,0,[],[],true,true
arithmetic_sub_w4,identity,5,5,0,5,1.000000,0,0,[],[],true,true
arithmetic_truncated_multiply_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
arithmetic_truncated_multiply_w3,identity,3,3,0,3,1.000000,0,0,[],[],true,true
arithmetic_truncated_multiply_w4,identity,4,4,0,4,1.000000,0,0,[],[],true,true
arithmetic_unsigned_add_w2,identity,3,3,0,3,1.000000,0,0,[],[],true,true
arithmetic_unsigned_add_w3,identity,4,4,0,4,1.000000,0,0,[],[],true,true
arithmetic_unsigned_add_w4,identity,5,5,0,5,1.000000,0,0,[],[],true,true
bitmanip_concat_w2,identity,4,4,0,4,1.000000,0,0,[],[],true,true
bitmanip_concat_w3,identity,6,6,0,6,1.000000,0,0,[],[],true,true
bitmanip_concat_w4,identity,8,8,0,8,1.000000,0,0,[],[],true,true
bitmanip_mask_low_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
bitmanip_mask_low_w3,identity,3,3,0,3,1.000000,0,0,[],[],true,true
bitmanip_mask_low_w4,identity,4,4,0,4,1.000000,0,0,[],[],true,true
bitmanip_mask_low_w6,identity,6,6,0,6,1.000000,0,0,[],[],true,true
bitmanip_mask_low_w8,identity,8,8,0,8,1.000000,0,0,[],[],true,true
bitmanip_rotate_left_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
bitmanip_rotate_left_w3,identity,3,3,0,3,1.000000,0,0,[],[],true,true
bitmanip_rotate_left_w4,identity,4,4,0,4,1.000000,0,0,[],[],true,true
bitmanip_rotate_left_w6,identity,6,6,0,6,1.000000,0,0,[],[],true,true
bitmanip_rotate_left_w8,identity,8,8,0,8,1.000000,0,0,[],[],true,true
bitmanip_shift_left_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
bitmanip_shift_left_w3,identity,3,3,0,3,1.000000,0,0,[],[],true,true
bitmanip_shift_left_w4,identity,4,4,0,4,1.000000,0,0,[],[],true,true
bitmanip_shift_left_w6,identity,6,6,0,6,1.000000,0,0,[],[],true,true
bitmanip_shift_left_w8,identity,8,8,0,8,1.000000,0,0,[],[],true,true
bitmanip_shift_right_w2,identity,2,2,0,2,1.000000,0,0,[],[],true,true
bitmanip_shift_right_w3,identity,3,3,0,3,1.000000,0,0,[],[],true,true
bitmanip_shift_right_w4,identity,4,4,0,4,1.000000,0,0,[],[],true,true
bitmanip_shift_right_w6,identity,6,6,0,6,1.000000,0,0,[],[],true,true
bitmanip_shift_right_w8,identity,8,8,0,8,1.000000,0,0,[],[],true,true
bitmanip_sign_extend_w2,identity,4,4,0,4,1.000000,0,0,[],[],true,true
bitmanip_sign_extend_w3,identity,6,6,0,6,1.000000,0,0,[],[],true,true
bitmanip_sign_extend_w4,identity,8,8,0,8,1.000000,0,0,[],[],true,true
bitmanip_sign_extend_w6,identity,12,12,0,12,1.000000,0,0,[],[],true,true
bitmanip_sign_extend_w8,identity,16,16,0,16,1.000000,0,0,[],[],true,true
bitmanip_slice_low_w2,identity,1,1,0,1,1.000000,0,0,[],[],true,true
bitmanip_slice_low_w3,identity,1,1,0,1,1.000000,0,0,[],[],true,true
