metric,value,schema_version
head,405e477e476919fd72fc869e2b8b6a71cc14a3b2,semantic_region_replacement_baseline_v1
results/blind_semantic_cegis/z3_exhaustive_crosscheck.csv_rows,192,semantic_region_replacement_baseline_v1
z3_exhaustive_agreement,192,semantic_region_replacement_baseline_v1
z3_counterexamples_reproduced,186,semantic_region_replacement_baseline_v1
results/blind_semantic_cegis/z3_cegis_iterations.csv_rows,379,semantic_region_replacement_baseline_v1
z3_cegis_counterexamples,219,semantic_region_replacement_baseline_v1
results/blind_semantic_cegis/z3_formal_proofs.csv_rows,46,semantic_region_replacement_baseline_v1
z3_formal_smt_proofs,46,semantic_region_replacement_baseline_v1
results/semantic_grafting/graft_placement_attempts.csv_rows,276,semantic_region_replacement_baseline_v1
old_graft_graph_active,0,semantic_region_replacement_baseline_v1
old_graft_accepted,0,semantic_region_replacement_baseline_v1
blind_unique_recovered,10/16,semantic_region_replacement_baseline_v1
blind_wide_recovered,4/4,semantic_region_replacement_baseline_v1
oracle_bus_unique_recovered,10/16,semantic_region_replacement_baseline_v1
oracle_bus_wide_recovered,4/4,semantic_region_replacement_baseline_v1
