benchmark,optimization,benchmark_family,source_family,optimization_group,original_nodes,optimized_nodes,original_levels,optimized_levels,exact_internal_matches,old_signatures_disappeared,new_signatures_appeared,avg_best_support_overlap,simulation_mode,pattern_count,is_formal_exact_mode,has_internal_nodes,signature_match_on_patterns,formal_truth_table_matches,exact_match_rate,preserved_signature_fraction,optimized_signature_coverage,disappeared_fraction,novel_fraction,node_reduction_rate,level_reduction_rate,avg_best_simulation_similarity,avg_best_combined_score,support_overlap_min,support_overlap_median,support_overlap_max
external_iscas85_c1355,balance,unknown,iscas85,low,472,468,26,25,462,10,6,0.9976899976899977,random,4096,0,1,462,,0.9871794871794872,0.9788135593220338,0.9871794871794872,0.0211864406779661,0.01282051282051282,0.00847457627118644,0.038461538461538464,0.9981428619123932,0.9914642049651815,0.7297297297297297,1.0,1.0
external_iscas85_c1355,compress2rs,unknown,iscas85,very_high,472,359,26,17,193,279,166,0.9437949688646068,random,4096,0,1,193,,0.5376044568245125,0.4088983050847458,0.5376044568245125,0.5911016949152542,0.4623955431754875,0.23940677966101695,0.34615384615384615,0.8871784688370473,0.8570664054173069,0.5714285714285714,1.0,1.0
external_iscas85_c1355,dc2,unknown,iscas85,very_high,472,355,26,18,237,235,118,0.9409519742051518,random,4096,0,1,237,,0.6676056338028169,0.5021186440677966,0.6676056338028169,0.4978813559322034,0.3323943661971831,0.2478813559322034,0.3076923076923077,0.9221205160651409,0.8741767340114605,0.5714285714285714,1.0,1.0
external_iscas85_c1355,refactor,unknown,iscas85,medium,472,428,26,24,338,134,90,0.9955796918413741,random,4096,0,1,338,,0.7897196261682243,0.7161016949152542,0.7897196261682243,0.2838983050847458,0.2102803738317757,0.09322033898305085,0.07692307692307693,0.9521039445823598,0.9278253119355392,0.7297297297297297,1.0,1.0
external_iscas85_c1355,refactor_z,unknown,iscas85,medium,472,393,26,24,300,172,93,0.9948708176667295,random,4096,0,1,300,,0.7633587786259542,0.635593220338983,0.7633587786259542,0.3644067796610169,0.2366412213740458,0.1673728813559322,0.07692307692307693,0.9473240199586515,0.9234907268308851,0.7297297297297297,1.0,1.0
external_iscas85_c1355,resub,unknown,iscas85,high,472,472,26,26,472,0,0,1.0,random,4096,0,1,472,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
external_iscas85_c1355,resyn,unknown,iscas85,high,472,360,26,18,247,225,113,0.9335907335907336,random,4096,0,1,247,,0.6861111111111111,0.5233050847457628,0.6861111111111111,0.4766949152542373,0.3138888888888889,0.23728813559322035,0.3076923076923077,0.9206068250868056,0.8646855392146937,0.5714285714285714,1.0,1.0
external_iscas85_c1355,resyn2,unknown,iscas85,very_high,472,359,26,17,193,279,166,0.9437949688646068,random,4096,0,1,193,,0.5376044568245125,0.4088983050847458,0.5376044568245125,0.5911016949152542,0.4623955431754875,0.23940677966101695,0.34615384615384615,0.8871784688370473,0.8570664054173069,0.5714285714285714,1.0,1.0
external_iscas85_c1355,resyn2_like,unknown,iscas85,very_high,472,359,26,17,193,279,166,0.9437949688646068,random,4096,0,1,193,,0.5376044568245125,0.4088983050847458,0.5376044568245125,0.5911016949152542,0.4623955431754875,0.23940677966101695,0.34615384615384615,0.8871784688370473,0.8570664054173069,0.5714285714285714,1.0,1.0
external_iscas85_c1355,rewrite,unknown,iscas85,medium,472,412,26,19,296,176,116,0.9516812235258837,random,4096,0,1,296,,0.7184466019417476,0.6271186440677966,0.7184466019417476,0.3728813559322034,0.2815533980582524,0.1271186440677966,0.2692307692307692,0.9305390293158374,0.8892535391033046,0.5714285714285714,1.0,1.0
