benchmark,circuit,optimization,path_type,path_length,path_index,optimized_node,structural_level,node_delay,arrival_time,mapped_original_node,mapping_category,confidence,distance,explanation
external_iscas85_c432,c432,rewrite,structural,41,1,new_n51,1,1.0,1.0,new_n51,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,2,new_n53,2,1.0,2.0,new_n53,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,3,new_n54,3,1.0,3.0,new_n54,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,4,new_n55,4,1.0,4.0,new_n55,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,5,new_n56,5,1.0,5.0,new_n56,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,6,new_n57,6,1.0,6.0,new_n57,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,7,new_n58,7,1.0,7.0,new_n58,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,8,new_n59,8,1.0,8.0,new_n59,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,9,G426,9,1.0,9.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,structural,41,10,new_n90,10,1.0,10.0,new_n61,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,11,new_n92,11,1.0,11.0,new_n98,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,12,new_n94,12,1.0,12.0,new_n100,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,13,new_n100,13,1.0,13.0,new_n106,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,14,new_n101,14,1.0,14.0,new_n107,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,15,new_n102,15,1.0,15.0,new_n108,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,16,new_n103,16,1.0,16.0,new_n109,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,17,new_n104,17,1.0,17.0,new_n110,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,18,new_n105,18,1.0,18.0,new_n111,sat_cec_proven_equivalent,1.0,,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c432,c432,rewrite,structural,41,19,new_n106,19,1.0,19.0,new_n112,sat_cec_proven_equivalent,1.0,,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c432,c432,rewrite,structural,41,20,G427,20,1.0,20.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,structural,41,21,new_n144,21,1.0,21.0,new_n114,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,22,new_n146,22,1.0,22.0,new_n158,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,23,new_n149,23,1.0,23.0,new_n161,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,24,new_n156,24,1.0,24.0,new_n168,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,25,new_n157,25,1.0,25.0,new_n169,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,26,new_n158,26,1.0,26.0,new_n170,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,27,new_n159,27,1.0,27.0,new_n171,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,28,new_n160,28,1.0,28.0,new_n172,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,29,new_n161,29,1.0,29.0,new_n173,sat_cec_proven_equivalent,1.0,,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c432,c432,rewrite,structural,41,30,new_n162,30,1.0,30.0,new_n174,sat_cec_proven_equivalent,1.0,,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c432,c432,rewrite,structural,41,31,G428,31,1.0,31.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,structural,41,32,new_n194,32,1.0,32.0,new_n176,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,33,new_n198,33,1.0,33.0,new_n186,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,34,new_n199,34,1.0,34.0,new_n223,exact_signature_match,1.0,,Signature match from top_candidates.
