benchmark,optimization,optimized_node,rank,original_candidate,combined_score,simulation_similarity,support_overlap,depth_similarity,optimized_level,original_level,optimized_fingerprint,original_fingerprint,optimized_support_size,original_support_size,optimized_fanin_count,original_fanin_count
generated_adder_4,balance,new_n15,1,new_n15,1.0,1.0,1.0,1.0,1,1,7bd75205b989a663,7bd75205b989a663,2,2,2,2
generated_adder_4,balance,new_n15,2,new_n16,0.725,0.5,1.0,1.0,1,1,7bd75205b989a663,235b1e44a2ae2a5f,2,2,2,2
generated_adder_4,balance,new_n15,3,new_n24,0.725,0.5,1.0,1.0,1,1,7bd75205b989a663,47c57d9752e083e9,2,2,2,2
generated_adder_4,balance,new_n15,4,new_n18,0.6791666666666667,0.75,0.6666666666666666,0.3333333333333333,1,3,7bd75205b989a663,38a1a370d3f79f4b,2,3,2,2
generated_adder_4,balance,new_n15,5,new_n25,0.6791666666666667,0.75,0.6666666666666666,0.3333333333333333,1,3,7bd75205b989a663,6651021d80b896ca,2,3,2,2
generated_adder_4,balance,new_n16,1,new_n16,1.0,1.0,1.0,1.0,1,1,235b1e44a2ae2a5f,235b1e44a2ae2a5f,2,2,2,2
generated_adder_4,balance,new_n16,2,new_n15,0.725,0.5,1.0,1.0,1,1,235b1e44a2ae2a5f,7bd75205b989a663,2,2,2,2
generated_adder_4,balance,new_n16,3,new_n24,0.725,0.5,1.0,1.0,1,1,235b1e44a2ae2a5f,47c57d9752e083e9,2,2,2,2
generated_adder_4,balance,new_n16,4,new_n18,0.6791666666666667,0.75,0.6666666666666666,0.3333333333333333,1,3,235b1e44a2ae2a5f,38a1a370d3f79f4b,2,3,2,2
generated_adder_4,balance,new_n16,5,new_n25,0.6791666666666667,0.75,0.6666666666666666,0.3333333333333333,1,3,235b1e44a2ae2a5f,6651021d80b896ca,2,3,2,2
generated_adder_4,balance,new_n17,1,new_n17,1.0,1.0,1.0,1.0,2,2,5fb1824d9692e39a,5fb1824d9692e39a,2,2,2,2
generated_adder_4,balance,new_n17,2,new_n24,0.8125,0.75,1.0,0.5,2,1,5fb1824d9692e39a,47c57d9752e083e9,2,2,2,2
generated_adder_4,balance,new_n17,3,new_n19,0.6958333333333334,0.75,0.6666666666666666,0.5,2,3,5fb1824d9692e39a,dc06a37141f84a2b,2,3,2,2
generated_adder_4,balance,new_n17,4,new_n26,0.5416666666666666,0.5,0.6666666666666666,0.3333333333333333,2,4,5fb1824d9692e39a,2a8cb68d76125e6e,2,3,2,2
generated_adder_4,balance,new_n17,5,new_n15,0.5375,0.25,1.0,0.5,2,1,5fb1824d9692e39a,7bd75205b989a663,2,2,2,2
generated_adder_4,balance,new_n18,1,new_n18,1.0,1.0,1.0,1.0,3,3,38a1a370d3f79f4b,38a1a370d3f79f4b,3,3,2,2
generated_adder_4,balance,new_n18,2,new_n26,0.8125,0.75,1.0,0.5,3,4,38a1a370d3f79f4b,2a8cb68d76125e6e,3,3,2,2
generated_adder_4,balance,new_n18,3,new_n19,0.725,0.5,1.0,1.0,3,3,38a1a370d3f79f4b,dc06a37141f84a2b,3,3,2,2
generated_adder_4,balance,new_n18,4,new_n25,0.725,0.5,1.0,1.0,3,3,38a1a370d3f79f4b,6651021d80b896ca,3,3,2,2
generated_adder_4,balance,new_n18,5,new_n15,0.6791666666666667,0.75,0.6666666666666666,0.3333333333333333,3,1,38a1a370d3f79f4b,7bd75205b989a663,3,2,2,2
generated_adder_4,balance,new_n19,1,new_n19,1.0,1.0,1.0,1.0,3,3,dc06a37141f84a2b,dc06a37141f84a2b,3,3,2,2
generated_adder_4,balance,new_n19,2,new_n18,0.725,0.5,1.0,1.0,3,3,dc06a37141f84a2b,38a1a370d3f79f4b,3,3,2,2
generated_adder_4,balance,new_n19,3,new_n25,0.725,0.5,1.0,1.0,3,3,dc06a37141f84a2b,6651021d80b896ca,3,3,2,2
generated_adder_4,balance,new_n19,4,new_n17,0.6958333333333334,0.75,0.6666666666666666,0.5,3,2,dc06a37141f84a2b,5fb1824d9692e39a,3,2,2,2
generated_adder_4,balance,new_n19,5,new_n24,0.6791666666666667,0.75,0.6666666666666666,0.3333333333333333,3,1,dc06a37141f84a2b,47c57d9752e083e9,3,2,2,2
generated_adder_4,balance,new_n21,1,new_n21,1.0,1.0,1.0,1.0,1,1,e451a988382af5d9,e451a988382af5d9,2,2,2,2
generated_adder_4,balance,new_n21,2,new_n22,0.725,0.5,1.0,1.0,1,1,e451a988382af5d9,2157b90811e3ea67,2,2,2,2
generated_adder_4,balance,new_n21,3,new_n33,0.725,0.5,1.0,1.0,1,1,e451a988382af5d9,1e47fdfb89658e16,2,2,2,2
generated_adder_4,balance,new_n21,4,new_n27,0.5725,0.75,0.4,0.2,1,5,e451a988382af5d9,a29f685b4a595ff0,2,5,2,2
generated_adder_4,balance,new_n21,5,new_n34,0.5725,0.75,0.4,0.2,1,5,e451a988382af5d9,47d1804ed8430f98,2,5,2,2
generated_adder_4,balance,new_n22,1,new_n22,1.0,1.0,1.0,1.0,1,1,2157b90811e3ea67,2157b90811e3ea67,2,2,2,2
generated_adder_4,balance,new_n22,2,new_n21,0.725,0.5,1.0,1.0,1,1,2157b90811e3ea67,e451a988382af5d9,2,2,2,2
