benchmark,optimization,k,verified_at_k,total_nodes,recovery_at_k,mrr,avg_score_at_1
majority3,balance,1,0,4,0.0,0.0,0.965625
majority3,balance,2,0,4,0.0,0.0,0.965625
majority3,balance,3,0,4,0.0,0.0,0.965625
majority3,balance,5,0,4,0.0,0.0,0.965625
majority3,refactor,1,0,3,0.0,0.0,0.8298611111111112
majority3,refactor,2,0,3,0.0,0.0,0.8298611111111112
majority3,refactor,3,0,3,0.0,0.0,0.8298611111111112
majority3,refactor,5,0,3,0.0,0.0,0.8298611111111112
majority3,resub,1,1,4,0.25,0.25,1.0
majority3,resub,2,1,4,0.25,0.25,1.0
majority3,resub,3,1,4,0.25,0.25,1.0
majority3,resub,5,1,4,0.25,0.25,1.0
majority3,resyn2_like,1,1,3,0.3333333333333333,0.3333333333333333,0.8624999999999999
majority3,resyn2_like,2,1,3,0.3333333333333333,0.3333333333333333,0.8624999999999999
majority3,resyn2_like,3,1,3,0.3333333333333333,0.3333333333333333,0.8624999999999999
majority3,resyn2_like,5,1,3,0.3333333333333333,0.3333333333333333,0.8624999999999999
majority3,rewrite,1,1,4,0.25,0.25,1.0
majority3,rewrite,2,1,4,0.25,0.25,1.0
majority3,rewrite,3,1,4,0.25,0.25,1.0
majority3,rewrite,5,1,4,0.25,0.25,1.0
mux2,balance,1,2,2,1.0,1.0,1.0
mux2,balance,2,2,2,1.0,1.0,1.0
mux2,balance,3,2,2,1.0,1.0,1.0
mux2,balance,5,2,2,1.0,1.0,1.0
mux2,refactor,1,2,2,1.0,1.0,1.0
mux2,refactor,2,2,2,1.0,1.0,1.0
mux2,refactor,3,2,2,1.0,1.0,1.0
mux2,refactor,5,2,2,1.0,1.0,1.0
mux2,resub,1,2,2,1.0,1.0,1.0
mux2,resub,2,2,2,1.0,1.0,1.0
mux2,resub,3,2,2,1.0,1.0,1.0
mux2,resub,5,2,2,1.0,1.0,1.0
mux2,resyn2_like,1,0,2,0.0,0.0,0.725
mux2,resyn2_like,2,0,2,0.0,0.0,0.725
mux2,resyn2_like,3,0,2,0.0,0.0,0.725
mux2,resyn2_like,5,0,2,0.0,0.0,0.725
mux2,rewrite,1,2,2,1.0,1.0,1.0
mux2,rewrite,2,2,2,1.0,1.0,1.0
mux2,rewrite,3,2,2,1.0,1.0,1.0
mux2,rewrite,5,2,2,1.0,1.0,1.0
toy_and_or,balance,1,2,2,1.0,1.0,1.0
toy_and_or,balance,2,2,2,1.0,1.0,1.0
toy_and_or,balance,3,2,2,1.0,1.0,1.0
toy_and_or,balance,5,2,2,1.0,1.0,1.0
toy_and_or,refactor,1,2,2,1.0,1.0,1.0
toy_and_or,refactor,2,2,2,1.0,1.0,1.0
toy_and_or,refactor,3,2,2,1.0,1.0,1.0
toy_and_or,refactor,5,2,2,1.0,1.0,1.0
toy_and_or,resub,1,2,2,1.0,1.0,1.0
toy_and_or,resub,2,2,2,1.0,1.0,1.0
toy_and_or,resub,3,2,2,1.0,1.0,1.0
toy_and_or,resub,5,2,2,1.0,1.0,1.0
toy_and_or,resyn2_like,1,2,2,1.0,1.0,1.0
toy_and_or,resyn2_like,2,2,2,1.0,1.0,1.0
toy_and_or,resyn2_like,3,2,2,1.0,1.0,1.0
toy_and_or,resyn2_like,5,2,2,1.0,1.0,1.0
toy_and_or,rewrite,1,2,2,1.0,1.0,1.0
toy_and_or,rewrite,2,2,2,1.0,1.0,1.0
toy_and_or,rewrite,3,2,2,1.0,1.0,1.0
toy_and_or,rewrite,5,2,2,1.0,1.0,1.0
xor_chain,balance,1,8,8,1.0,1.0,1.0
xor_chain,balance,2,8,8,1.0,1.0,1.0
xor_chain,balance,3,8,8,1.0,1.0,1.0
xor_chain,balance,5,8,8,1.0,1.0,1.0
xor_chain,refactor,1,8,8,1.0,1.0,1.0
xor_chain,refactor,2,8,8,1.0,1.0,1.0
xor_chain,refactor,3,8,8,1.0,1.0,1.0
xor_chain,refactor,5,8,8,1.0,1.0,1.0
xor_chain,resub,1,8,8,1.0,1.0,1.0
xor_chain,resub,2,8,8,1.0,1.0,1.0
xor_chain,resub,3,8,8,1.0,1.0,1.0
xor_chain,resub,5,8,8,1.0,1.0,1.0
xor_chain,resyn2_like,1,0,8,0.0,0.0,0.7096875
xor_chain,resyn2_like,2,0,8,0.0,0.0,0.7096875
xor_chain,resyn2_like,3,0,8,0.0,0.0,0.7096875
xor_chain,resyn2_like,5,0,8,0.0,0.0,0.7096875
xor_chain,rewrite,1,8,8,1.0,1.0,1.0
xor_chain,rewrite,2,8,8,1.0,1.0,1.0
xor_chain,rewrite,3,8,8,1.0,1.0,1.0
xor_chain,rewrite,5,8,8,1.0,1.0,1.0
